"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","AS","=~","AS1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.603","0.044","0.000","[0.516, 0.689]","0.603***","AS.BY.AS1"
"2","AS","=~","AS2","1.169","0.139","0.000","[0.897, 1.440]","1.169***","0.639","0.042","0.000","[0.557, 0.722]","0.639***","AS.BY.AS2"
"3","AS","=~","AS3","0.931","0.124","0.000","[0.689, 1.174]","0.931***","0.548","0.048","0.000","[0.454, 0.641]","0.548***","AS.BY.AS3"
"4","AS","=~","AS4","0.904","0.121","0.000","[0.666, 1.142]","0.904***","0.540","0.048","0.000","[0.446, 0.634]","0.540***","AS.BY.AS4"
"5","AS","=~","AS5","1.138","0.135","0.000","[0.874, 1.402]","1.138***","0.642","0.042","0.000","[0.560, 0.724]","0.642***","AS.BY.AS5"
"6","AS","=~","AS6","0.653","0.094","0.000","[0.469, 0.838]","0.653***","0.493","0.051","0.000","[0.393, 0.592]","0.493***","AS.BY.AS6"
"7","AS","=~","AS7","0.800","0.118","0.000","[0.569, 1.031]","0.800***","0.479","0.051","0.000","[0.379, 0.580]","0.479***","AS.BY.AS7"
"8","AS","=~","AS8","0.899","0.121","0.000","[0.662, 1.135]","0.899***","0.539","0.048","0.000","[0.445, 0.633]","0.539***","AS.BY.AS8"
"9","AS","=~","AS9","0.770","0.106","0.000","[0.563, 0.977]","0.770***","0.525","0.049","0.000","[0.429, 0.620]","0.525***","AS.BY.AS9"
"10","AF","=~","AF1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.659","0.060","0.000","[0.542, 0.777]","0.659***","AF.BY.AF1"
"11","AF","=~","AF2","0.881","0.151","0.000","[0.586, 1.176]","0.881***","0.536","0.060","0.000","[0.418, 0.654]","0.536***","AF.BY.AF2"
"12","AF","=~","AF3","0.665","0.126","0.000","[0.419, 0.912]","0.665***","0.445","0.063","0.000","[0.322, 0.568]","0.445***","AF.BY.AF3"
"13","AF","=~","AF4","0.943","0.159","0.000","[0.633, 1.254]","0.943***","0.566","0.060","0.000","[0.449, 0.684]","0.566***","AF.BY.AF4"
"14","MI","=~","MI1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.511","0.062","0.000","[0.390, 0.632]","0.511***","MI.BY.MI1"
"15","MI","=~","MI2","1.136","0.209","0.000","[0.727, 1.544]","1.136***","0.549","0.061","0.000","[0.430, 0.669]","0.549***","MI.BY.MI2"
"16","MI","=~","MI3","1.475","0.264","0.000","[0.958, 1.993]","1.475***","0.614","0.060","0.000","[0.496, 0.733]","0.614***","MI.BY.MI3"
