"","Items","r.drop","Objectified","Marginalized","Strong","Angry"
"1","Obj1",0.344192813917741,0.55807435717548,0.0773704970733942,-0.0331772109296265,-0.055982175408525
"2","Obj2",0.276450958317165,0.583634932559104,-0.0691960401110536,-0.0639899469669488,0.00825951535775357
"3","Obj3",0.363696868965403,0.528065538631489,0.0117965431224875,0.0344114899313827,0.129684594319395
"4","Obj4",0.350102904455038,0.527076467662899,0.0354019415157795,0.0349350320467486,0.0266820487601244
"5","Obj5",0.245030153173068,0.483916663788803,-0.146021435922408,0.149279305975129,0.0277211287126957
"6","Obj6",0.392166930394495,0.441982183770924,0.199988718776388,-0.0293343088719333,0.073534657502495
"7","Obj7",0.404783828546154,0.478533745561547,0.212456978854551,0.0550312967857278,-0.0749532507025108
"8","Obj8",0.278138327814079,0.428619146396438,-0.0152517155329543,0.130317537469841,-0.0163307864890116
"9","Obj9",0.336955270005809,0.376124524120297,0.0633501997261618,0.173109451955188,0.0832209693788694
"10","Obj10",0.309471772821408,0.374900298859578,0.0757535478118032,0.175039781911447,-0.0366371228005771
"11","Marg1",0.457855902365973,0.0962132250090293,0.806790537953785,-0.0337946370084189,-0.0199053100304192
"12","Marg2",0.380872268512783,-0.0327143072444151,0.681004428144519,0.0155653359115637,0.160359791467878
"13","Marg3",0.339321115328875,0.0582273237711884,0.602217601069428,-0.0639542683102955,0.0524506876061729
"14","Marg4",0.407645224506834,0.160673604047775,0.562696166402632,-0.0537447089662338,0.086712930234942
"15","Marg5",0.384809167268007,0.203120539949995,0.520492612832468,-0.103504314313672,0.0421664625817145
"16","Marg6",0.281759616112203,0.0316872621658293,0.469522683731314,0.192453176729694,-0.134691618849228
"17","Marg7",0.232150238905046,-0.157644987632461,0.446815298049273,0.157766212282423,0.195134307392964
"18","Strong1",0.175936986614895,0.0356749857005915,0.00227508662248026,0.39886368495801,0.203780888101535
"19","Strong2",0.127871580624173,0.0852705396317351,-0.0436195295845196,0.402439964202116,0.0152169173293335
"20","Strong3",0.134930265814961,0.154586094290112,-0.0611761591563761,0.38364963969455,-0.0776308889786913
"21","Strong4",0.171146458193635,-0.00797353080349573,0.0380372250115344,0.430333679542279,0.208675540294621
"22","Strong5",0.193338094720591,0.0717362633776094,0.151088376104428,0.325586560097499,-0.0763758902325318
"23","Angry1",0.223172971348927,0.17724187250078,0.0264683344047484,-0.0265767901775489,0.511151543147062
"24","Angry2",0.161950235485827,-0.0234641294498411,0.0483078893296588,0.157290606005839,0.536470184036352
"25","Angry3",0.13277598876959,-0.086650829137789,0.0937123649640379,0.105016476885452,0.528890302024582
