"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"28","Min3","~~","Min3","0.536","0.040","0.000","[0.457, 0.614]","0.536***","0.834","0.042","0.000","[0.751, 0.918]","0.834***","1.000","Mild","Variances.Min3.Mild",""
"29","Per1","~~","Per1","0.525","0.036","0.000","[0.455, 0.596]","0.525***","0.732","0.036","0.000","[0.662, 0.802]","0.732***","1.000","Mild","Variances.Per1.Mild",""
"30","Per2","~~","Per2","0.319","0.026","0.000","[0.268, 0.369]","0.319***","0.560","0.041","0.000","[0.479, 0.641]","0.560***","1.000","Mild","Variances.Per2.Mild",""
"31","Per3","~~","Per3","0.370","0.028","0.000","[0.316, 0.425]","0.370***","0.616","0.040","0.000","[0.538, 0.693]","0.616***","1.000","Mild","Variances.Per3.Mild",""
"32","Per4","~~","Per4","0.491","0.032","0.000","[0.429, 0.553]","0.491***","0.831","0.030","0.000","[0.772, 0.890]","0.831***","1.000","Mild","Variances.Per4.Mild",""
"33","Per5","~~","Per5","0.566","0.036","0.000","[0.495, 0.636]","0.566***","0.857","0.029","0.000","[0.801, 0.913]","0.857***","1.000","Mild","Variances.Per5.Mild",""
"34","Oth1","~~","Oth1","0.435","0.034","0.000","[0.369, 0.501]","0.435***","0.597","0.040","0.000","[0.519, 0.674]","0.597***","1.000","Mild","Variances.Oth1.Mild",""
"35","Oth2","~~","Oth2","0.486","0.034","0.000","[0.420, 0.552]","0.486***","0.711","0.035","0.000","[0.642, 0.781]","0.711***","1.000","Mild","Variances.Oth2.Mild",""
"36","Oth3","~~","Oth3","0.458","0.032","0.000","[0.395, 0.521]","0.458***","0.700","0.037","0.000","[0.629, 0.772]","0.700***","1.000","Mild","Variances.Oth3.Mild",""
"37","Oth4","~~","Oth4","0.635","0.041","0.000","[0.554, 0.717]","0.635***","0.806","0.031","0.000","[0.745, 0.867]","0.806***","1.000","Mild","Variances.Oth4.Mild",""
"38","Oth5","~~","Oth5","0.509","0.032","0.000","[0.446, 0.572]","0.509***","0.865","0.026","0.000","[0.813, 0.917]","0.865***","1.000","Mild","Variances.Oth5.Mild",""
"39","Oth6","~~","Oth6","0.553","0.035","0.000","[0.484, 0.623]","0.553***","0.859","0.027","0.000","[0.806, 0.913]","0.859***","1.000","Mild","Variances.Oth6.Mild",""
"40","Oth7","~~","Oth7","0.557","0.035","0.000","[0.488, 0.626]","0.557***","0.876","0.026","0.000","[0.824, 0.928]","0.876***","1.000","Mild","Variances.Oth7.Mild",""
"41","Helplessness","~~","Helplessness","0.154","0.024","0.000","[0.107, 0.201]","0.154***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Helplessness.Mild",""
"42","Minimization","~~","Minimization","0.189","0.044","0.000","[0.103, 0.275]","0.189***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Minimization.Mild",""
"43","DenialPersonhood","~~","DenialPersonhood","0.192","0.030","0.000","[0.134, 0.251]","0.192***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.DenialPersonhood.Mild",""
"44","Otherization","~~","Otherization","0.294","0.037","0.000","[0.222, 0.366]","0.294***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Otherization.Mild",""
"45","Helplessness","~~","Minimization","0.045","0.014","0.002","[0.017, 0.073]","0.045**","0.262","0.078","0.001","[0.110, 0.415]","0.262***","1.000","Mild","Helplessness.WITH.Minimization.Mild",""
"46","Helplessness","~~","DenialPersonhood","0.120","0.016","0.000","[0.089, 0.152]","0.120***","0.699","0.046","0.000","[0.608, 0.790]","0.699***","1.000","Mild","Helplessness.WITH.DenialPersonhood.Mild",""
"47","Helplessness","~~","Otherization","0.135","0.018","0.000","[0.100, 0.171]","0.135***","0.636","0.049","0.000","[0.540, 0.731]","0.636***","1.000","Mild","Helplessness.WITH.Otherization.Mild",""
"48","Minimization","~~","DenialPersonhood","0.077","0.017","0.000","[0.044, 0.111]","0.077***","0.405","0.074","0.000","[0.259, 0.550]","0.405***","1.000","Mild","Minimization.WITH.DenialPersonhood.Mild",""
"49","Minimization","~~","Otherization","0.084","0.020","0.000","[0.045, 0.123]","0.084***","0.356","0.075","0.000","[0.210, 0.502]","0.356***","1.000","Mild","Minimization.WITH.Otherization.Mild",""
"50","DenialPersonhood","~~","Otherization","0.167","0.021","0.000","[0.126, 0.208]","0.167***","0.703","0.044","0.000","[0.616, 0.789]","0.703***","1.000","Mild","DenialPersonhood.WITH.Otherization.Mild",""
"51","Help1","~1","","1.978","0.032","0.000","[1.916, 2.040]","1.978***","2.662","0.089","0.000","[2.488, 2.836]","2.662***","1.000","Mild","Means.Help1.Mild",""
"52","Help2","~1","","2.400","0.034","0.000","[2.333, 2.466]","2.400***","3.011","0.098","0.000","[2.820, 3.202]","3.011***","1.000","Mild","Means.Help2.Mild",""
"53","Help3","~1","","2.137","0.036","0.000","[2.066, 2.208]","2.137***","2.531","0.085","0.000","[2.364, 2.698]","2.531***","1.000","Mild","Means.Help3.Mild",""
"54","Help4","~1","","2.226","0.035","0.000","[2.157, 2.296]","2.226***","2.684","0.089","0.000","[2.509, 2.858]","2.684***","1.000","Mild","Means.Help4.Mild",""
"55","Help5","~1","","2.020","0.036","0.000","[1.950, 2.090]","2.020***","2.421","0.082","0.000","[2.260, 2.583]","2.421***","1.000","Mild","Means.Help5.Mild",""
"56","Min1","~1","","2.401","0.035","0.000","[2.333, 2.470]","2.401***","2.932","0.098","0.000","[2.741, 3.124]","2.932***","1.000","Mild","Means.Min1.Mild",""
"57","Min2","~1","","2.343","0.035","0.000","[2.275, 2.411]","2.343***","2.874","0.096","0.000","[2.686, 3.061]","2.874***","1.000","Mild","Means.Min2.Mild",""
"58","Min3","~1","","2.631","0.034","0.000","[2.564, 2.698]","2.631***","3.284","0.107","0.000","[3.074, 3.493]","3.284***","1.000","Mild","Means.Min3.Mild",""
"59","Per1","~1","","2.086","0.036","0.000","[2.015, 2.157]","2.086***","2.462","0.083","0.000","[2.298, 2.625]","2.462***","1.000","Mild","Means.Per1.Mild",""
"60","Per2","~1","","2.109","0.032","0.000","[2.046, 2.173]","2.109***","2.796","0.093","0.000","[2.615, 2.977]","2.796***","1.000","Mild","Means.Per2.Mild",""
"61","Per3","~1","","2.553","0.033","0.000","[2.488, 2.618]","2.553***","3.291","0.105","0.000","[3.085, 3.497]","3.291***","1.000","Mild","Means.Per3.Mild",""
"62","Per4","~1","","2.381","0.033","0.000","[2.317, 2.446]","2.381***","3.098","0.100","0.000","[2.901, 3.295]","3.098***","1.000","Mild","Means.Per4.Mild",""
"63","Per5","~1","","2.148","0.035","0.000","[2.080, 2.216]","2.148***","2.643","0.089","0.000","[2.469, 2.817]","2.643***","1.000","Mild","Means.Per5.Mild",""
"64","Oth1","~1","","2.673","0.036","0.000","[2.602, 2.745]","2.673***","3.131","0.100","0.000","[2.934, 3.328]","3.131***","1.000","Mild","Means.Oth1.Mild",""
"65","Oth2","~1","","2.628","0.035","0.000","[2.559, 2.697]","2.628***","3.180","0.101","0.000","[2.982, 3.378]","3.180***","1.000","Mild","Means.Oth2.Mild",""
"66","Oth3","~1","","2.117","0.035","0.000","[2.049, 2.185]","2.117***","2.617","0.087","0.000","[2.447, 2.788]","2.617***","1.000","Mild","Means.Oth3.Mild",""
"67","Oth4","~1","","2.407","0.038","0.000","[2.333, 2.481]","2.407***","2.712","0.090","0.000","[2.536, 2.887]","2.712***","1.000","Mild","Means.Oth4.Mild",""
"68","Oth5","~1","","2.489","0.033","0.000","[2.425, 2.553]","2.489***","3.244","0.104","0.000","[3.041, 3.448]","3.244***","1.000","Mild","Means.Oth5.Mild",""
"69","Oth6","~1","","2.620","0.034","0.000","[2.553, 2.688]","2.620***","3.265","0.105","0.000","[3.060, 3.470]","3.265***","1.000","Mild","Means.Oth6.Mild",""
"70","Oth7","~1","","2.104","0.034","0.000","[2.037, 2.171]","2.104***","2.638","0.089","0.000","[2.465, 2.812]","2.638***","1.000","Mild","Means.Oth7.Mild",""
"71","Helplessness","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Helplessness.Mild",""
"72","Minimization","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Minimization.Mild",""
"73","DenialPersonhood","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.DenialPersonhood.Mild",""
"74","Otherization","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","Mild","Means.Otherization.Mild",""
"75","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.510","0.041","0.000","[0.429, 0.590]","0.510***","2.000","Severe","Helplessness.BY.Help1.Severe",""
"76","Helplessness","=~","Help2","1.161","0.110","0.000","[0.945, 1.377]","1.161***","0.570","0.041","0.000","[0.490, 0.651]","0.570***","2.000","Severe","Helplessness.BY.Help2.Severe",".p2."
"77","Helplessness","=~","Help3","1.084","0.110","0.000","[0.869, 1.300]","1.084***","0.515","0.042","0.000","[0.433, 0.597]","0.515***","2.000","Severe","Helplessness.BY.Help3.Severe",".p3."
"78","Helplessness","=~","Help4","0.982","0.103","0.000","[0.780, 1.183]","0.982***","0.517","0.043","0.000","[0.433, 0.601]","0.517***","2.000","Severe","Helplessness.BY.Help4.Severe",".p4."
"79","Helplessness","=~","Help5","1.150","0.111","0.000","[0.931, 1.368]","1.150***","0.565","0.042","0.000","[0.483, 0.646]","0.565***","2.000","Severe","Helplessness.BY.Help5.Severe",".p5."
"80","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.534","0.067","0.000","[0.403, 0.665]","0.534***","2.000","Severe","Minimization.BY.Min1.Severe",""
"81","Minimization","=~","Min2","0.750","0.133","0.000","[0.488, 1.011]","0.750***","0.415","0.060","0.000","[0.298, 0.531]","0.415***","2.000","Severe","Minimization.BY.Min2.Severe",".p7."
"82","Minimization","=~","Min3","0.751","0.134","0.000","[0.489, 1.012]","0.751***","0.405","0.059","0.000","[0.290, 0.521]","0.405***","2.000","Severe","Minimization.BY.Min3.Severe",".p8."
"83","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.525","0.041","0.000","[0.444, 0.606]","0.525***","2.000","Severe","DenialPersonhood.BY.Per1.Severe",""
"84","DenialPersonhood","=~","Per2","1.141","0.100","0.000","[0.946, 1.337]","1.141***","0.625","0.040","0.000","[0.546, 0.704]","0.625***","2.000","Severe","DenialPersonhood.BY.Per2.Severe",".p10."
"85","DenialPersonhood","=~","Per3","1.097","0.098","0.000","[0.905, 1.289]","1.097***","0.618","0.040","0.000","[0.538, 0.697]","0.618***","2.000","Severe","DenialPersonhood.BY.Per3.Severe",".p11."
"86","DenialPersonhood","=~","Per4","0.720","0.083","0.000","[0.559, 0.882]","0.720***","0.415","0.042","0.000","[0.333, 0.497]","0.415***","2.000","Severe","DenialPersonhood.BY.Per4.Severe",".p12."
"87","DenialPersonhood","=~","Per5","0.701","0.087","0.000","[0.530, 0.872]","0.701***","0.351","0.040","0.000","[0.272, 0.429]","0.351***","2.000","Severe","DenialPersonhood.BY.Per5.Severe",".p13."
"88","Otherization","=~","Oth1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.640","0.038","0.000","[0.566, 0.714]","0.640***","2.000","Severe","Otherization.BY.Oth1.Severe",""
"89","Otherization","=~","Oth2","0.819","0.068","0.000","[0.686, 0.951]","0.819***","0.596","0.039","0.000","[0.519, 0.674]","0.596***","2.000","Severe","Otherization.BY.Oth2.Severe",".p15."
"90","Otherization","=~","Oth3","0.816","0.068","0.000","[0.683, 0.950]","0.816***","0.557","0.039","0.000","[0.480, 0.634]","0.557***","2.000","Severe","Otherization.BY.Oth3.Severe",".p16."
"91","Otherization","=~","Oth4","0.720","0.070","0.000","[0.583, 0.858]","0.720***","0.468","0.041","0.000","[0.388, 0.549]","0.468***","2.000","Severe","Otherization.BY.Oth4.Severe",".p17."
"92","Otherization","=~","Oth5","0.520","0.058","0.000","[0.407, 0.633]","0.520***","0.417","0.043","0.000","[0.334, 0.501]","0.417***","2.000","Severe","Otherization.BY.Oth5.Severe",".p18."
"93","Otherization","=~","Oth6","0.556","0.062","0.000","[0.434, 0.677]","0.556***","0.402","0.042","0.000","[0.320, 0.484]","0.402***","2.000","Severe","Otherization.BY.Oth6.Severe",".p19."
"94","Otherization","=~","Oth7","0.518","0.062","0.000","[0.395, 0.640]","0.518***","0.352","0.041","0.000","[0.272, 0.431]","0.352***","2.000","Severe","Otherization.BY.Oth7.Severe",".p20."
"95","Help1","~~","Help1","0.473","0.045","0.000","[0.385, 0.561]","0.473***","0.740","0.042","0.000","[0.658, 0.823]","0.740***","2.000","Severe","Variances.Help1.Severe",""
"96","Help2","~~","Help2","0.464","0.047","0.000","[0.373, 0.555]","0.464***","0.675","0.047","0.000","[0.583, 0.766]","0.675***","2.000","Severe","Variances.Help2.Severe",""
"97","Help3","~~","Help3","0.541","0.052","0.000","[0.440, 0.642]","0.541***","0.735","0.043","0.000","[0.650, 0.819]","0.735***","2.000","Severe","Variances.Help3.Severe",""
"98","Help4","~~","Help4","0.438","0.042","0.000","[0.356, 0.520]","0.438***","0.733","0.044","0.000","[0.646, 0.819]","0.733***","2.000","Severe","Variances.Help4.Severe",""
"99","Help5","~~","Help5","0.469","0.047","0.000","[0.377, 0.561]","0.469***","0.681","0.047","0.000","[0.589, 0.773]","0.681***","2.000","Severe","Variances.Help5.Severe",""
"100","Min1","~~","Min1","0.467","0.058","0.000","[0.354, 0.580]","0.467***","0.715","0.071","0.000","[0.575, 0.854]","0.715***","2.000","Severe","Variances.Min1.Severe",""
"101","Min2","~~","Min2","0.505","0.050","0.000","[0.407, 0.603]","0.505***","0.828","0.049","0.000","[0.731, 0.925]","0.828***","2.000","Severe","Variances.Min2.Severe",""
"102","Min3","~~","Min3","0.534","0.052","0.000","[0.432, 0.637]","0.534***","0.836","0.048","0.000","[0.742, 0.929]","0.836***","2.000","Severe","Variances.Min3.Severe",""
"103","Per1","~~","Per1","0.542","0.052","0.000","[0.440, 0.645]","0.542***","0.724","0.043","0.000","[0.639, 0.809]","0.724***","2.000","Severe","Variances.Per1.Severe",""
"104","Per2","~~","Per2","0.420","0.045","0.000","[0.331, 0.509]","0.420***","0.609","0.050","0.000","[0.511, 0.708]","0.609***","2.000","Severe","Variances.Per2.Severe",""
"105","Per3","~~","Per3","0.403","0.043","0.000","[0.319, 0.488]","0.403***","0.618","0.050","0.000","[0.521, 0.716]","0.618***","2.000","Severe","Variances.Per3.Severe",""
"106","Per4","~~","Per4","0.515","0.046","0.000","[0.424, 0.606]","0.515***","0.828","0.035","0.000","[0.760, 0.896]","0.828***","2.000","Severe","Variances.Per4.Severe",""
"107","Per5","~~","Per5","0.725","0.064","0.000","[0.600, 0.850]","0.725***","0.877","0.028","0.000","[0.822, 0.932]","0.877***","2.000","Severe","Variances.Per5.Severe",""
"108","Oth1","~~","Oth1","0.460","0.048","0.000","[0.366, 0.555]","0.460***","0.591","0.048","0.000","[0.496, 0.686]","0.591***","2.000","Severe","Variances.Oth1.Severe",""
"109","Oth2","~~","Oth2","0.388","0.039","0.000","[0.312, 0.464]","0.388***","0.644","0.047","0.000","[0.552, 0.737]","0.644***","2.000","Severe","Variances.Oth2.Severe",""
"110","Oth3","~~","Oth3","0.473","0.046","0.000","[0.384, 0.563]","0.473***","0.690","0.044","0.000","[0.604, 0.776]","0.690***","2.000","Severe","Variances.Oth3.Severe",""
"111","Oth4","~~","Oth4","0.591","0.054","0.000","[0.485, 0.696]","0.591***","0.781","0.038","0.000","[0.706, 0.856]","0.781***","2.000","Severe","Variances.Oth4.Severe",""
"112","Oth5","~~","Oth5","0.409","0.037","0.000","[0.338, 0.481]","0.409***","0.826","0.036","0.000","[0.756, 0.896]","0.826***","2.000","Severe","Variances.Oth5.Severe",""
"113","Oth6","~~","Oth6","0.512","0.045","0.000","[0.423, 0.601]","0.512***","0.839","0.034","0.000","[0.773, 0.904]","0.839***","2.000","Severe","Variances.Oth6.Severe",""
"114","Oth7","~~","Oth7","0.606","0.053","0.000","[0.502, 0.710]","0.606***","0.876","0.029","0.000","[0.820, 0.932]","0.876***","2.000","Severe","Variances.Oth7.Severe",""
"115","Helplessness","~~","Helplessness","0.166","0.030","0.000","[0.107, 0.225]","0.166***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Helplessness.Severe",""
"116","Minimization","~~","Minimization","0.186","0.050","0.000","[0.088, 0.285]","0.186***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Minimization.Severe",""
"117","DenialPersonhood","~~","DenialPersonhood","0.207","0.037","0.000","[0.135, 0.279]","0.207***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.DenialPersonhood.Severe",""
"118","Otherization","~~","Otherization","0.319","0.048","0.000","[0.225, 0.413]","0.319***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","Severe","Variances.Otherization.Severe",""
"119","Helplessness","~~","Minimization","0.042","0.020","0.032","[0.004, 0.081]","0.042*","0.240","0.106","0.024","[0.031, 0.448]","0.240*","2.000","Severe","Helplessness.WITH.Minimization.Severe",""
"120","Helplessness","~~","DenialPersonhood","0.105","0.020","0.000","[0.066, 0.144]","0.105***","0.565","0.072","0.000","[0.423, 0.707]","0.565***","2.000","Severe","Helplessness.WITH.DenialPersonhood.Severe",""
"121","Helplessness","~~","Otherization","0.119","0.023","0.000","[0.074, 0.164]","0.119***","0.516","0.071","0.000","[0.376, 0.656]","0.516***","2.000","Severe","Helplessness.WITH.Otherization.Severe",""
"122","Minimization","~~","DenialPersonhood","0.060","0.022","0.008","[0.016, 0.104]","0.060**","0.305","0.105","0.004","[0.099, 0.512]","0.305**","2.000","Severe","Minimization.WITH.DenialPersonhood.Severe",""
"123","Minimization","~~","Otherization","0.130","0.029","0.000","[0.072, 0.187]","0.130***","0.531","0.095","0.000","[0.344, 0.718]","0.531***","2.000","Severe","Minimization.WITH.Otherization.Severe",""
"124","DenialPersonhood","~~","Otherization","0.120","0.025","0.000","[0.071, 0.169]","0.120***","0.466","0.074","0.000","[0.320, 0.612]","0.466***","2.000","Severe","DenialPersonhood.WITH.Otherization.Severe",""
"125","Help1","~1","","2.411","0.047","0.000","[2.318, 2.503]","2.411***","3.015","0.131","0.000","[2.757, 3.273]","3.015***","2.000","Severe","Means.Help1.Severe",""
"126","Help2","~1","","3.140","0.049","0.000","[3.044, 3.237]","3.140***","3.788","0.159","0.000","[3.476, 4.099]","3.788***","2.000","Severe","Means.Help2.Severe",""
"127","Help3","~1","","2.733","0.051","0.000","[2.634, 2.833]","2.733***","3.186","0.138","0.000","[2.916, 3.456]","3.186***","2.000","Severe","Means.Help3.Severe",""
"128","Help4","~1","","2.996","0.046","0.000","[2.907, 3.086]","2.996***","3.875","0.163","0.000","[3.556, 4.195]","3.875***","2.000","Severe","Means.Help4.Severe",""
"129","Help5","~1","","2.860","0.049","0.000","[2.763, 2.956]","2.860***","3.446","0.147","0.000","[3.158, 3.734]","3.446***","2.000","Severe","Means.Help5.Severe",""
"130","Min1","~1","","2.712","0.048","0.000","[2.618, 2.806]","2.712***","3.355","0.150","0.000","[3.061, 3.649]","3.355***","2.000","Severe","Means.Min1.Severe",""
"131","Min2","~1","","2.677","0.046","0.000","[2.587, 2.768]","2.677***","3.429","0.152","0.000","[3.131, 3.727]","3.429***","2.000","Severe","Means.Min2.Severe",""
"132","Min3","~1","","2.849","0.047","0.000","[2.756, 2.942]","2.849***","3.563","0.157","0.000","[3.255, 3.871]","3.563***","2.000","Severe","Means.Min3.Severe",""
"133","Per1","~1","","2.698","0.051","0.000","[2.598, 2.799]","2.698***","3.118","0.135","0.000","[2.853, 3.383]","3.118***","2.000","Severe","Means.Per1.Severe",""
"134","Per2","~1","","2.660","0.049","0.000","[2.563, 2.756]","2.660***","3.203","0.139","0.000","[2.931, 3.474]","3.203***","2.000","Severe","Means.Per2.Severe",""
"135","Per3","~1","","3.133","0.048","0.000","[3.040, 3.227]","3.133***","3.880","0.163","0.000","[3.561, 4.200]","3.880***","2.000","Severe","Means.Per3.Severe",""
"136","Per4","~1","","2.986","0.047","0.000","[2.894, 3.078]","2.986***","3.784","0.161","0.000","[3.469, 4.099]","3.784***","2.000","Severe","Means.Per4.Severe",""
"137","Per5","~1","","2.730","0.054","0.000","[2.624, 2.835]","2.730***","3.002","0.133","0.000","[2.740, 3.263]","3.002***","2.000","Severe","Means.Per5.Severe",""
"138","Oth1","~1","","3.025","0.052","0.000","[2.922, 3.127]","3.025***","3.426","0.145","0.000","[3.141, 3.711]","3.426***","2.000","Severe","Means.Oth1.Severe",""
"139","Oth2","~1","","3.021","0.046","0.000","[2.931, 3.111]","3.021***","3.896","0.162","0.000","[3.577, 4.214]","3.896***","2.000","Severe","Means.Oth2.Severe",""
"140","Oth3","~1","","2.667","0.049","0.000","[2.571, 2.763]","2.667***","3.220","0.138","0.000","[2.950, 3.489]","3.220***","2.000","Severe","Means.Oth3.Severe",""
"141","Oth4","~1","","2.818","0.052","0.000","[2.717, 2.918]","2.818***","3.240","0.140","0.000","[2.967, 3.514]","3.240***","2.000","Severe","Means.Oth4.Severe",""
"142","Oth5","~1","","2.867","0.042","0.000","[2.785, 2.948]","2.867***","4.072","0.171","0.000","[3.736, 4.408]","4.072***","2.000","Severe","Means.Oth5.Severe",""
"143","Oth6","~1","","2.842","0.046","0.000","[2.751, 2.933]","2.842***","3.638","0.155","0.000","[3.334, 3.943]","3.638***","2.000","Severe","Means.Oth6.Severe",""
"144","Oth7","~1","","2.481","0.049","0.000","[2.384, 2.577]","2.481***","2.983","0.133","0.000","[2.723, 3.243]","2.983***","2.000","Severe","Means.Oth7.Severe",""
"145","Helplessness","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","2.000","Severe","Means.Helplessness.Severe",""
