"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label"
"1","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.574","0.038","0.000","[0.499, 0.650]","0.574***","1.000","Mild","Helplessness.BY.Help1.Mild"
"2","Helplessness","=~","Help2","1.066","0.116","0.000","[0.840, 1.293]","1.066***","0.581","0.038","0.000","[0.506, 0.655]","0.581***","1.000","Mild","Helplessness.BY.Help2.Mild"
"3","Helplessness","=~","Help3","0.966","0.115","0.000","[0.741, 1.192]","0.966***","0.499","0.041","0.000","[0.418, 0.579]","0.499***","1.000","Mild","Helplessness.BY.Help3.Mild"
"4","Helplessness","=~","Help4","0.857","0.110","0.000","[0.642, 1.073]","0.857***","0.451","0.043","0.000","[0.368, 0.535]","0.451***","1.000","Mild","Helplessness.BY.Help4.Mild"
"5","Helplessness","=~","Help5","0.959","0.113","0.000","[0.737, 1.181]","0.959***","0.507","0.041","0.000","[0.427, 0.587]","0.507***","1.000","Mild","Helplessness.BY.Help5.Mild"
"6","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.639","0.080","0.000","[0.483, 0.795]","0.639***","1.000","Mild","Minimization.BY.Min1.Mild"
"7","Minimization","=~","Min2","0.550","0.137","0.000","[0.280, 0.819]","0.550***","0.358","0.061","0.000","[0.239, 0.477]","0.358***","1.000","Mild","Minimization.BY.Min2.Mild"
"8","Minimization","=~","Min3","0.509","0.129","0.000","[0.255, 0.762]","0.509***","0.339","0.060","0.000","[0.221, 0.456]","0.339***","1.000","Mild","Minimization.BY.Min3.Mild"
"9","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.501","0.039","0.000","[0.424, 0.579]","0.501***","1.000","Mild","DenialPersonhood.BY.Per1.Mild"
"10","DenialPersonhood","=~","Per2","1.254","0.132","0.000","[0.995, 1.513]","1.254***","0.691","0.033","0.000","[0.628, 0.755]","0.691***","1.000","Mild","DenialPersonhood.BY.Per2.Mild"
"11","DenialPersonhood","=~","Per3","1.082","0.121","0.000","[0.844, 1.320]","1.082***","0.597","0.036","0.000","[0.526, 0.667]","0.597***","1.000","Mild","DenialPersonhood.BY.Per3.Mild"
"12","DenialPersonhood","=~","Per4","0.736","0.105","0.000","[0.530, 0.942]","0.736***","0.405","0.043","0.000","[0.321, 0.489]","0.405***","1.000","Mild","DenialPersonhood.BY.Per4.Mild"
"13","DenialPersonhood","=~","Per5","0.736","0.110","0.000","[0.522, 0.951]","0.736***","0.382","0.043","0.000","[0.297, 0.467]","0.382***","1.000","Mild","DenialPersonhood.BY.Per5.Mild"
"14","Otherization","=~","Oth1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.645","0.035","0.000","[0.577, 0.713]","0.645***","1.000","Mild","Otherization.BY.Oth1.Mild"
"15","Otherization","=~","Oth2","0.811","0.084","0.000","[0.647, 0.975]","0.811***","0.542","0.038","0.000","[0.467, 0.618]","0.542***","1.000","Mild","Otherization.BY.Oth2.Mild"
"16","Otherization","=~","Oth3","0.819","0.083","0.000","[0.656, 0.981]","0.819***","0.558","0.038","0.000","[0.484, 0.632]","0.558***","1.000","Mild","Otherization.BY.Oth3.Mild"
"17","Otherization","=~","Oth4","0.662","0.084","0.000","[0.496, 0.827]","0.662***","0.417","0.043","0.000","[0.333, 0.500]","0.417***","1.000","Mild","Otherization.BY.Oth4.Mild"
"18","Otherization","=~","Oth5","0.511","0.073","0.000","[0.368, 0.653]","0.511***","0.369","0.044","0.000","[0.282, 0.455]","0.369***","1.000","Mild","Otherization.BY.Oth5.Mild"
"19","Otherization","=~","Oth6","0.545","0.076","0.000","[0.396, 0.694]","0.545***","0.377","0.044","0.000","[0.291, 0.463]","0.377***","1.000","Mild","Otherization.BY.Oth6.Mild"
"20","Otherization","=~","Oth7","0.448","0.073","0.000","[0.304, 0.592]","0.448***","0.315","0.046","0.000","[0.225, 0.404]","0.315***","1.000","Mild","Otherization.BY.Oth7.Mild"
"21","Help1","~~","Help1","0.384","0.029","0.000","[0.327, 0.440]","0.384***","0.670","0.044","0.000","[0.583, 0.756]","0.670***","1.000","Mild","Variances.Help1.Mild"
"22","Help2","~~","Help2","0.423","0.032","0.000","[0.360, 0.485]","0.423***","0.663","0.044","0.000","[0.576, 0.750]","0.663***","1.000","Mild","Variances.Help2.Mild"
"23","Help3","~~","Help3","0.533","0.037","0.000","[0.461, 0.605]","0.533***","0.751","0.041","0.000","[0.671, 0.831]","0.751***","1.000","Mild","Variances.Help3.Mild"
"24","Help4","~~","Help4","0.543","0.036","0.000","[0.472, 0.615]","0.543***","0.796","0.038","0.000","[0.721, 0.872]","0.796***","1.000","Mild","Variances.Help4.Mild"
"25","Help5","~~","Help5","0.503","0.035","0.000","[0.434, 0.572]","0.503***","0.743","0.041","0.000","[0.662, 0.824]","0.743***","1.000","Mild","Variances.Help5.Mild"
"26","Min1","~~","Min1","0.406","0.071","0.000","[0.267, 0.544]","0.406***","0.592","0.102","0.000","[0.392, 0.791]","0.592***","1.000","Mild","Variances.Min1.Mild"
