"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","GRMS","=~","AS1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.396","0.059","0.000","[0.280, 0.512]","0.396***","GRMS.BY.AS1"
"2","GRMS","=~","AS2","0.907","0.192","0.000","[0.530, 1.284]","0.907***","0.326","0.062","0.000","[0.204, 0.448]","0.326***","GRMS.BY.AS2"
"3","GRMS","=~","AS3","1.089","0.209","0.000","[0.679, 1.500]","1.089***","0.421","0.058","0.000","[0.307, 0.534]","0.421***","GRMS.BY.AS3"
"4","GRMS","=~","AS4","0.917","0.191","0.000","[0.541, 1.292]","0.917***","0.359","0.061","0.000","[0.241, 0.478]","0.359***","GRMS.BY.AS4"
"5","GRMS","=~","AS5","1.231","0.219","0.000","[0.801, 1.660]","1.231***","0.456","0.056","0.000","[0.346, 0.567]","0.456***","GRMS.BY.AS5"
"6","GRMS","=~","AS6","0.779","0.160","0.000","[0.466, 1.092]","0.779***","0.386","0.060","0.000","[0.269, 0.502]","0.386***","GRMS.BY.AS6"
"7","GRMS","=~","AS7","1.077","0.213","0.000","[0.660, 1.494]","1.077***","0.424","0.058","0.000","[0.310, 0.537]","0.424***","GRMS.BY.AS7"
"8","GRMS","=~","AS8","0.936","0.193","0.000","[0.558, 1.315]","0.936***","0.369","0.060","0.000","[0.251, 0.487]","0.369***","GRMS.BY.AS8"
"9","GRMS","=~","AS9","0.650","0.157","0.000","[0.343, 0.957]","0.650***","0.291","0.063","0.000","[0.167, 0.415]","0.291***","GRMS.BY.AS9"
"10","GRMS","=~","AF1","0.877","0.212","0.000","[0.461, 1.292]","0.877***","0.355","0.061","0.000","[0.235, 0.475]","0.355***","GRMS.BY.AF1"
"11","GRMS","=~","AF2","1.432","0.278","0.000","[0.887, 1.977]","1.432***","0.535","0.052","0.000","[0.433, 0.637]","0.535***","GRMS.BY.AF2"
"12","GRMS","=~","AF3","0.765","0.200","0.000","[0.373, 1.157]","0.765***","0.314","0.062","0.000","[0.192, 0.436]","0.314***","GRMS.BY.AF3"
"13","GRMS","=~","AF4","1.215","0.256","0.000","[0.713, 1.717]","1.215***","0.448","0.057","0.000","[0.337, 0.559]","0.448***","GRMS.BY.AF4"
"14","GRMS","=~","MI1","1.154","0.231","0.000","[0.702, 1.606]","1.154***","0.501","0.054","0.000","[0.395, 0.607]","0.501***","GRMS.BY.MI1"
"15","GRMS","=~","MI2","0.884","0.211","0.000","[0.472, 1.297]","0.884***","0.364","0.061","0.000","[0.245, 0.483]","0.364***","GRMS.BY.MI2"
"16","GRMS","=~","MI3","1.109","0.253","0.000","[0.613, 1.605]","1.109***","0.393","0.060","0.000","[0.275, 0.510]","0.393***","GRMS.BY.MI3"
"17","GRMS","=~","MI4","0.956","0.228","0.000","[0.510, 1.403]","0.956***","0.361","0.060","0.000","[0.242, 0.479]","0.361***","GRMS.BY.MI4"
"18","GRMS","=~","MI5","0.992","0.220","0.000","[0.560, 1.423]","0.992***","0.409","0.059","0.000","[0.293, 0.524]","0.409***","GRMS.BY.MI5"
"19","GRMS","=~","AUA1","1.211","0.264","0.000","[0.693, 1.729]","1.211***","0.432","0.059","0.000","[0.316, 0.547]","0.432***","GRMS.BY.AUA1"
"20","GRMS","=~","AUA2","1.235","0.250","0.000","[0.746, 1.725]","1.235***","0.502","0.055","0.000","[0.394, 0.611]","0.502***","GRMS.BY.AUA2"
"21","GRMS","=~","AUA3","0.979","0.213","0.000","[0.562, 1.397]","0.979***","0.432","0.059","0.000","[0.317, 0.547]","0.432***","GRMS.BY.AUA3"
"22","GRMS","=~","AUA4","1.509","0.288","0.000","[0.944, 2.073]","1.509***","0.576","0.052","0.000","[0.475, 0.677]","0.576***","GRMS.BY.AUA4"
"23","AS","=~","AS1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.453","0.062","0.000","[0.333, 0.574]","0.453***","AS.BY.AS1"
"24","AS","=~","AS2","1.398","0.252","0.000","[0.904, 1.892]","1.398***","0.575","0.059","0.000","[0.460, 0.691]","0.575***","AS.BY.AS2"
"25","AS","=~","AS3","0.815","0.183","0.000","[0.457, 1.173]","0.815***","0.360","0.064","0.000","[0.234, 0.486]","0.360***","AS.BY.AS3"
"26","AS","=~","AS4","0.899","0.191","0.000","[0.525, 1.272]","0.899***","0.404","0.064","0.000","[0.278, 0.529]","0.404***","AS.BY.AS4"
"27","AS","=~","AS5","1.056","0.203","0.000","[0.658, 1.453]","1.056***","0.448","0.061","0.000","[0.329, 0.567]","0.448***","AS.BY.AS5"
"28","AS","=~","AS6","0.571","0.140","0.000","[0.297, 0.846]","0.571***","0.324","0.066","0.000","[0.195, 0.454]","0.324***","AS.BY.AS6"
"29","AS","=~","AS7","0.588","0.167","0.000","[0.261, 0.916]","0.588***","0.265","0.067","0.000","[0.134, 0.397]","0.265***","AS.BY.AS7"
"30","AS","=~","AS8","0.861","0.187","0.000","[0.496, 1.227]","0.861***","0.389","0.064","0.000","[0.263, 0.515]","0.389***","AS.BY.AS8"
"31","AS","=~","AS9","0.867","0.177","0.000","[0.520, 1.215]","0.867***","0.444","0.064","0.000","[0.320, 0.569]","0.444***","AS.BY.AS9"
"32","AF","=~","AF1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.691","0.144","0.000","[0.408, 0.974]","0.691***","AF.BY.AF1"
"33","AF","=~","AF2","0.342","0.162","0.035","[0.024, 0.659]","0.342*","0.218","0.076","0.004","[0.069, 0.367]","0.218**","AF.BY.AF2"
"34","AF","=~","AF3","0.446","0.196","0.023","[0.061, 0.830]","0.446*","0.312","0.088","0.000","[0.139, 0.486]","0.312***","AF.BY.AF3"
"35","AF","=~","AF4","0.474","0.207","0.022","[0.069, 0.879]","0.474*","0.298","0.084","0.000","[0.133, 0.464]","0.298***","AF.BY.AF4"
"36","MI","=~","MI1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.227","0.082","0.005","[0.067, 0.387]","0.227**","MI.BY.MI1"
"37","MI","=~","MI2","1.874","0.766","0.014","[0.372, 3.375]","1.874*","0.403","0.099","0.000","[0.208, 0.598]","0.403***","MI.BY.MI2"
"38","MI","=~","MI3","2.959","1.340","0.027","[0.332, 5.586]","2.959*","0.548","0.119","0.000","[0.314, 0.782]","0.548***","MI.BY.MI3"
"39","MI","=~","MI4","1.326","0.610","0.030","[0.131, 2.521]","1.326*","0.261","0.086","0.002","[0.093, 0.429]","0.261**","MI.BY.MI4"
"40","MI","=~","MI5","-0.043","0.401","0.915","[-0.829, 0.743]","-0.043","-0.009","0.086","0.914","[-0.178, 0.159]","-0.009","MI.BY.MI5"
"41","AUA","=~","AUA1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.412","0.115","0.000","[0.186, 0.638]","0.412***","AUA.BY.AUA1"
"42","AUA","=~","AUA2","0.794","0.370","0.032","[0.069, 1.518]","0.794*","0.373","0.107","0.000","[0.163, 0.583]","0.373***","AUA.BY.AUA2"
"43","AUA","=~","AUA3","0.590","0.275","0.032","[0.051, 1.129]","0.590*","0.301","0.100","0.003","[0.105, 0.496]","0.301**","AUA.BY.AUA3"
"44","AUA","=~","AUA4","0.444","0.245","0.070","[-0.036, 0.924]","0.444","0.196","0.093","0.034","[0.014, 0.377]","0.196*","AUA.BY.AUA4"
"45","GRMS","~~","AS","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","GRMS.WITH.AS"
"46","GRMS","~~","AF","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","GRMS.WITH.AF"
"47","GRMS","~~","MI","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","GRMS.WITH.MI"
"48","GRMS","~~","AUA","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","GRMS.WITH.AUA"
"49","AS","~~","AF","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","AS.WITH.AF"
"50","AS","~~","MI","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","AS.WITH.MI"
"51","AS","~~","AUA","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","AS.WITH.AUA"
"52","AF","~~","MI","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","AF.WITH.MI"
"53","AF","~~","AUA","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","AF.WITH.AUA"
"54","MI","~~","AUA","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","MI.WITH.AUA"
"55","AS1","~~","AS1","0.536","0.050","0.000","[0.437, 0.635]","0.536***","0.638","0.053","0.000","[0.533, 0.743]","0.638***","Variances.AS1"
"56","AS2","~~","AS2","0.574","0.064","0.000","[0.449, 0.699]","0.574***","0.563","0.061","0.000","[0.444, 0.682]","0.563***","Variances.AS2"
"57","AS3","~~","AS3","0.612","0.054","0.000","[0.506, 0.719]","0.612***","0.693","0.051","0.000","[0.594, 0.792]","0.693***","Variances.AS3"
"58","AS4","~~","AS4","0.606","0.054","0.000","[0.499, 0.713]","0.606***","0.708","0.052","0.000","[0.606, 0.809]","0.708***","Variances.AS4"
"59","AS5","~~","AS5","0.566","0.054","0.000","[0.461, 0.672]","0.566***","0.591","0.052","0.000","[0.489, 0.694]","0.591***","Variances.AS5"
"60","AS6","~~","AS6","0.401","0.035","0.000","[0.333, 0.469]","0.401***","0.746","0.049","0.000","[0.651, 0.842]","0.746***","Variances.AS6"
"61","AS7","~~","AS7","0.637","0.055","0.000","[0.529, 0.745]","0.637***","0.750","0.048","0.000","[0.655, 0.844]","0.750***","Variances.AS7"
"62","AS8","~~","AS8","0.605","0.054","0.000","[0.499, 0.711]","0.605***","0.713","0.051","0.000","[0.613, 0.813]","0.713***","Variances.AS8"
"63","AS9","~~","AS9","0.472","0.044","0.000","[0.387, 0.558]","0.472***","0.718","0.054","0.000","[0.612, 0.824]","0.718***","Variances.AS9"
"64","AF1","~~","AF1","0.318","0.156","0.041","[0.013, 0.624]","0.318*","0.396","0.195","0.042","[0.015, 0.778]","0.396*","Variances.AF1"
