"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","AS","=~","AS1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.598","0.044","0.000","[0.513, 0.684]","0.598***","AS.BY.AS1"
"2","AS","=~","AS2","1.138","0.137","0.000","[0.870, 1.406]","1.138***","0.618","0.042","0.000","[0.535, 0.702]","0.618***","AS.BY.AS2"
"3","AS","=~","AS3","0.959","0.124","0.000","[0.716, 1.202]","0.959***","0.560","0.046","0.000","[0.469, 0.650]","0.560***","AS.BY.AS3"
"4","AS","=~","AS4","0.902","0.121","0.000","[0.666, 1.139]","0.902***","0.535","0.048","0.000","[0.442, 0.628]","0.535***","AS.BY.AS4"
"5","AS","=~","AS5","1.154","0.134","0.000","[0.891, 1.417]","1.154***","0.647","0.041","0.000","[0.567, 0.726]","0.647***","AS.BY.AS5"
"6","AS","=~","AS6","0.674","0.094","0.000","[0.489, 0.859]","0.674***","0.505","0.049","0.000","[0.408, 0.601]","0.505***","AS.BY.AS6"
"7","AS","=~","AS7","0.833","0.118","0.000","[0.601, 1.065]","0.833***","0.496","0.050","0.000","[0.399, 0.593]","0.496***","AS.BY.AS7"
"8","AS","=~","AS8","0.908","0.120","0.000","[0.672, 1.144]","0.908***","0.541","0.047","0.000","[0.448, 0.633]","0.541***","AS.BY.AS8"
"9","AS","=~","AS9","0.759","0.105","0.000","[0.554, 0.965]","0.759***","0.514","0.049","0.000","[0.418, 0.609]","0.514***","AS.BY.AS9"
"10","AF","=~","AF1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.564","0.053","0.000","[0.459, 0.669]","0.564***","AF.BY.AF1"
"11","AF","=~","AF2","1.193","0.174","0.000","[0.852, 1.535]","1.193***","0.621","0.051","0.000","[0.521, 0.722]","0.621***","AF.BY.AF2"
"12","AF","=~","AF3","0.740","0.137","0.000","[0.472, 1.009]","0.740***","0.423","0.059","0.000","[0.307, 0.539]","0.423***","AF.BY.AF3"
"13","AF","=~","AF4","1.134","0.171","0.000","[0.799, 1.468]","1.134***","0.582","0.053","0.000","[0.479, 0.686]","0.582***","AF.BY.AF4"
"14","MI","=~","MI1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.570","0.053","0.000","[0.466, 0.673]","0.570***","MI.BY.MI1"
