"TC2","TC1","TC3","TC4"
0.572,-0.042,0.079,0.127
0.611,0.053,0.097,-0.212
0.428,0.02,0.273,0.017
0.536,0.158,-0.076,0.023
0.391,0.327,0.045,-0.151
0.446,0.002,-0.151,0.217
0.443,0.103,0.168,0.147
0.669,0.002,-0.114,-0.018
0.435,0.079,0.009,-0.194
0.549,-0.122,0.035,0.188
-0.049,0.694,0.022,0.127
-0.067,0.577,0.182,0.058
0.042,0.596,0.014,0.053
0.116,0.55,-0.084,0.15
0.018,0.64,0.05,-0.134
0.19,0.446,-0.011,0.208
-0.015,0.647,-0.093,-0.09
0.191,0.09,0.532,-0.208
0.243,-0.098,0.32,0.294
-0.054,0.054,0.635,0.145
-0.024,0.06,0.568,-0.137
0.002,-0.1,0.586,0.058
-0.069,0.107,0.368,0.371
-0.02,0.085,-0.017,0.7
0.11,0.101,0.059,0.589
