"Items","r.drop","Objectified","Marginalized","Strong","Angry","objORTH","margORTH","strORTH","angORTH2","objOBLQ","margOBLQ","strOBLQ","angOBLQ"
"Obj1",0.437976367937505,0.470042930160788,0.283590913028734,0.265476149788365,0.149577431078056,0.574203707914157,0.120735145506845,0.13126461792398,0.0792593491695383,0.573902222452401,0.00957268482004011,0.089880481558865,0.0307432005651588
"Obj2",0.469520934732317,0.490953280288626,0.345314898173717,0.244770841116783,0.161021310837667,0.580703423357729,0.181028801044903,0.0987104964410827,0.0879148211286032,0.573787789457598,0.0753393807939257,0.0486283214081522,0.036678718193608
"Obj3",0.41433838028496,0.428867947568125,0.296425754713176,0.248171896740863,0.125733855106619,0.530823977141939,0.125413972550325,0.136767676176631,0.0668064150649964,0.526427468469787,0.0228498037666159,0.0977004305449198,0.0208796375586511
"Obj4",0.436944018217227,0.485789841458693,0.330662211882474,0.181818215520459,0.136069472498288,0.603627300425363,0.199833837184032,0.00133862771257577,0.0102692819742749,0.603593494660062,0.108232358124639,-0.0519452362449944,-0.0425500456777366
"Obj5",0.427076635004125,0.442954282399499,0.295439909549305,0.256837831210239,0.14634503180596,0.53206188736636,0.176159686869003,0.202347179341755,-0.0975535893219137,0.509344533449966,0.087047835251545,0.166489965407888,-0.149426513307727
"Obj6",0.336828946100542,0.34731160244173,0.222743878279647,0.169289105723324,0.184199681332895,0.488897711008385,-0.0411740559167736,-0.0160896940914589,0.428344089404475,0.533023847152521,-0.16971847713619,-0.0542304389765715,0.40120271557375
"Obj7",0.471148329423916,0.429400802271802,0.364288621548823,0.264817282729354,0.236968106393792,0.456660239065817,0.278233749382375,0.127876281501237,0.149859512416715,0.423630724851741,0.192455052269544,0.0710736330520309,0.102769147623976
"Obj8",0.384901951243058,0.454314022450494,0.305195989355419,0.141023698867052,0.0520874324264567,0.571538151995147,0.273122205870598,-0.000467587605427984,-0.260092222984347,0.55258328871905,0.219098902768976,-0.0492042262443555,-0.317571804609238
"Obj9",0.33627555646739,0.367087246468393,0.216152569884295,0.201723082349836,0.10861765589584,0.467932382384926,0.0489286329407657,0.209679596003226,-0.0496069351562705,0.463743434842427,-0.0437005130828623,0.189855573936068,-0.0901197592928332
"Obj10",0.346271446322955,0.390212158110607,0.22095111264494,0.168057995787929,0.135504759034819,0.544823093968669,0.0195727031266139,-0.000169547219416386,0.169519007934056,0.575636708248971,-0.090418910032989,-0.0365840220869906,0.131872098391436
"Marg1",0.49053879186649,0.325281478035394,0.601695220578866,0.207882593837214,0.284634051246542,0.110888047484603,0.783570312020388,0.0632189733729492,0.0529025792787757,-0.0251026352420779,0.81046772788095,-0.0326628295980234,0.00525812565541581
"Marg2",0.501898077692299,0.315738013701175,0.523089121085947,0.322905353021454,0.326833900081069,0.0884179424134858,0.614795435203998,0.284260507105669,0.184985222516476,-0.0402277873209244,0.599670523093492,0.210572940747526,0.144588814740974
"Marg3",0.423970099113131,0.303057536844059,0.455183655774105,0.224074510576043,0.232433526301823,0.134313226389212,0.596078660404079,0.15529877411354,0.0204356743238108,0.0222653011082052,0.599759410227139,0.0842397208038043,-0.0217403454342554
"Marg4",0.408762574786199,0.329020284472626,0.419997609053797,0.147830345782847,0.243389196484356,0.237385309702039,0.558566867542949,-0.0720264249876501,0.113315117834691,0.162999510482033,0.553722728339124,-0.155256165441426,0.0713493519394954
"Marg5",0.473169746713909,0.35653579005237,0.496677142041718,0.255182738866309,0.217726734494729,0.200924502531917,0.601182728388126,0.146436324114824,0.043179443702405,0.0931238823568929,0.592242952547303,0.070237660776144,-0.00353394302355953
"Marg6",0.45629540236376,0.400459388265775,0.407959396430242,0.221982895269269,0.207823275693874,0.367803682282436,0.403219850146104,0.0268898661772279,0.175771717807051,0.31878087774365,0.348952624262318,-0.0443134080957439,0.131086692202247
"Marg7",0.330434521008887,0.247042126933456,0.371868671001852,0.127501016203631,0.187417510113881,0.101590056737297,0.510998709841693,0.00485398907204488,0.121328994835944,0.019812149376287,0.518344455196818,-0.0639954625337392,0.0899656146964296
"Strong1",0.371277285270878,0.284559322339835,0.264583776122039,0.393256696802676,0.158001820047532,0.157350600251864,0.192015390534339,0.648049749801151,-0.116554768925588,0.0636043181901114,0.129485354570655,0.644332141732392,-0.151678025722939
"Strong2",0.342878817665243,0.27804108971845,0.236364520005464,0.281730966933517,0.205864469482456,0.270963532850913,0.0355473527877198,0.381175830986694,0.237524777343639,0.244673501545349,-0.0679104635423396,0.366098055339503,0.211797596338342
