"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.549","0.029","0.000","[0.493, 0.606]","0.549***","Helplessness.BY.Help1"
"2","Helplessness","=~","Help2","1.338","0.102","0.000","[1.138, 1.539]","1.338***","0.658","0.025","0.000","[0.609, 0.707]","0.658***","Helplessness.BY.Help2"
"3","Helplessness","=~","Help3","1.186","0.098","0.000","[0.993, 1.379]","1.186***","0.574","0.028","0.000","[0.519, 0.629]","0.574***","Helplessness.BY.Help3"
"4","Helplessness","=~","Help4","1.225","0.099","0.000","[1.031, 1.420]","1.225***","0.597","0.027","0.000","[0.544, 0.650]","0.597***","Helplessness.BY.Help4"
"5","Helplessness","=~","Help5","1.401","0.107","0.000","[1.191, 1.611]","1.401***","0.657","0.025","0.000","[0.608, 0.706]","0.657***","Helplessness.BY.Help5"
"6","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.545","0.046","0.000","[0.455, 0.636]","0.545***","Minimization.BY.Min1"
"7","Minimization","=~","Min2","0.825","0.121","0.000","[0.588, 1.062]","0.825***","0.455","0.045","0.000","[0.368, 0.543]","0.455***","Minimization.BY.Min2"
"8","Minimization","=~","Min3","0.734","0.112","0.000","[0.514, 0.953]","0.734***","0.411","0.045","0.000","[0.324, 0.498]","0.411***","Minimization.BY.Min3"
"9","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.590","0.028","0.000","[0.536, 0.644]","0.590***","DenialPersonhood.BY.Per1"
"10","DenialPersonhood","=~","Per2","1.043","0.074","0.000","[0.898, 1.189]","1.043***","0.675","0.024","0.000","[0.627, 0.723]","0.675***","DenialPersonhood.BY.Per2"
"11","DenialPersonhood","=~","Per3","1.052","0.075","0.000","[0.905, 1.199]","1.052***","0.670","0.025","0.000","[0.622, 0.719]","0.670***","DenialPersonhood.BY.Per3"
"12","DenialPersonhood","=~","Per4","0.810","0.069","0.000","[0.676, 0.945]","0.810***","0.521","0.030","0.000","[0.462, 0.580]","0.521***","DenialPersonhood.BY.Per4"
"13","DenialPersonhood","=~","Per5","0.783","0.072","0.000","[0.641, 0.925]","0.783***","0.467","0.032","0.000","[0.405, 0.529]","0.467***","DenialPersonhood.BY.Per5"
"14","Otherization","=~","Oth1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.629","0.027","0.000","[0.576, 0.681]","0.629***","Otherization.BY.Oth1"
"15","Otherization","=~","Oth2","0.875","0.067","0.000","[0.743, 1.006]","0.875***","0.582","0.028","0.000","[0.527, 0.638]","0.582***","Otherization.BY.Oth2"
"16","Otherization","=~","Oth3","0.946","0.070","0.000","[0.809, 1.083]","0.946***","0.611","0.027","0.000","[0.557, 0.665]","0.611***","Otherization.BY.Oth3"
