"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","GRMSAAW","=~","AS1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.535","0.046","0.000","[0.445, 0.626]","0.535***","GRMSAAW.BY.AS1"
"2","GRMSAAW","=~","AS2","1.069","0.152","0.000","[0.770, 1.368]","1.069***","0.520","0.047","0.000","[0.428, 0.612]","0.520***","GRMSAAW.BY.AS2"
"3","GRMSAAW","=~","AS3","1.024","0.143","0.000","[0.743, 1.304]","1.024***","0.535","0.046","0.000","[0.445, 0.625]","0.535***","GRMSAAW.BY.AS3"
"4","GRMSAAW","=~","AS4","0.909","0.137","0.000","[0.641, 1.177]","0.909***","0.482","0.049","0.000","[0.387, 0.578]","0.482***","GRMSAAW.BY.AS4"
"5","GRMSAAW","=~","AS5","1.177","0.154","0.000","[0.875, 1.479]","1.177***","0.590","0.043","0.000","[0.507, 0.674]","0.590***","GRMSAAW.BY.AS5"
"6","GRMSAAW","=~","AS6","0.721","0.108","0.000","[0.509, 0.934]","0.721***","0.483","0.049","0.000","[0.387, 0.579]","0.483***","GRMSAAW.BY.AS6"
"7","GRMSAAW","=~","AS7","0.914","0.137","0.000","[0.646, 1.181]","0.914***","0.487","0.049","0.000","[0.391, 0.582]","0.487***","GRMSAAW.BY.AS7"
"8","GRMSAAW","=~","AS8","0.927","0.137","0.000","[0.658, 1.196]","0.927***","0.494","0.048","0.000","[0.399, 0.589]","0.494***","GRMSAAW.BY.AS8"
"9","GRMSAAW","=~","AS9","0.735","0.117","0.000","[0.505, 0.965]","0.735***","0.445","0.051","0.000","[0.345, 0.545]","0.445***","GRMSAAW.BY.AS9"
"10","GRMSAAW","=~","AF1","0.675","0.125","0.000","[0.431, 0.920]","0.675***","0.370","0.054","0.000","[0.264, 0.476]","0.370***","GRMSAAW.BY.AF1"
"11","GRMSAAW","=~","AF2","0.975","0.144","0.000","[0.692, 1.258]","0.975***","0.493","0.048","0.000","[0.398, 0.588]","0.493***","GRMSAAW.BY.AF2"
"12","GRMSAAW","=~","AF3","0.555","0.120","0.000","[0.320, 0.790]","0.555***","0.308","0.057","0.000","[0.197, 0.419]","0.308***","GRMSAAW.BY.AF3"
"13","GRMSAAW","=~","AF4","0.851","0.141","0.000","[0.575, 1.128]","0.851***","0.425","0.052","0.000","[0.323, 0.526]","0.425***","GRMSAAW.BY.AF4"
"14","GRMSAAW","=~","MI1","0.744","0.120","0.000","[0.508, 0.980]","0.744***","0.438","0.051","0.000","[0.337, 0.538]","0.438***","GRMSAAW.BY.MI1"
"15","GRMSAAW","=~","MI2","0.641","0.122","0.000","[0.402, 0.880]","0.641***","0.357","0.055","0.000","[0.249, 0.464]","0.357***","GRMSAAW.BY.MI2"
"16","GRMSAAW","=~","MI3","0.860","0.146","0.000","[0.575, 1.146]","0.860***","0.413","0.052","0.000","[0.310, 0.515]","0.413***","GRMSAAW.BY.MI3"
"17","GRMSAAW","=~","MI4","0.601","0.130","0.000","[0.346, 0.856]","0.601***","0.307","0.057","0.000","[0.195, 0.418]","0.307***","GRMSAAW.BY.MI4"
"18","GRMSAAW","=~","MI5","0.655","0.122","0.000","[0.415, 0.895]","0.655***","0.365","0.054","0.000","[0.259, 0.472]","0.365***","GRMSAAW.BY.MI5"
"19","GRMSAAW","=~","AUA1","0.825","0.144","0.000","[0.543, 1.107]","0.825***","0.398","0.053","0.000","[0.294, 0.502]","0.398***","GRMSAAW.BY.AUA1"
"20","GRMSAAW","=~","AUA2","0.878","0.132","0.000","[0.620, 1.137]","0.878***","0.483","0.049","0.000","[0.388, 0.579]","0.483***","GRMSAAW.BY.AUA2"
"21","GRMSAAW","=~","AUA3","0.714","0.118","0.000","[0.483, 0.944]","0.714***","0.426","0.052","0.000","[0.325, 0.528]","0.426***","GRMSAAW.BY.AUA3"
"22","GRMSAAW","=~","AUA4","1.060","0.146","0.000","[0.774, 1.346]","1.060***","0.547","0.045","0.000","[0.458, 0.636]","0.547***","GRMSAAW.BY.AUA4"
"23","AS1","~~","AS1","0.600","0.052","0.000","[0.497, 0.702]","0.600***","0.713","0.049","0.000","[0.617, 0.810]","0.713***","Variances.AS1"
"24","AS2","~~","AS2","0.744","0.064","0.000","[0.618, 0.870]","0.744***","0.730","0.049","0.000","[0.634, 0.825]","0.730***","Variances.AS2"
"25","AS3","~~","AS3","0.631","0.055","0.000","[0.523, 0.738]","0.631***","0.714","0.049","0.000","[0.618, 0.810]","0.714***","Variances.AS3"
"26","AS4","~~","AS4","0.657","0.056","0.000","[0.547, 0.767]","0.657***","0.767","0.047","0.000","[0.675, 0.860]","0.767***","Variances.AS4"
"27","AS5","~~","AS5","0.624","0.056","0.000","[0.515, 0.733]","0.624***","0.651","0.050","0.000","[0.553, 0.750]","0.651***","Variances.AS5"
"28","AS6","~~","AS6","0.412","0.035","0.000","[0.343, 0.480]","0.412***","0.766","0.047","0.000","[0.674, 0.859]","0.766***","Variances.AS6"
"29","AS7","~~","AS7","0.648","0.055","0.000","[0.539, 0.757]","0.648***","0.763","0.047","0.000","[0.670, 0.856]","0.763***","Variances.AS7"
"30","AS8","~~","AS8","0.641","0.055","0.000","[0.534, 0.749]","0.641***","0.756","0.048","0.000","[0.662, 0.849]","0.756***","Variances.AS8"
"31","AS9","~~","AS9","0.528","0.045","0.000","[0.440, 0.615]","0.528***","0.802","0.045","0.000","[0.713, 0.891]","0.802***","Variances.AS9"
"32","AF1","~~","AF1","0.693","0.058","0.000","[0.580, 0.807]","0.693***","0.863","0.040","0.000","[0.784, 0.942]","0.863***","Variances.AF1"
