"RC1","RC2","RC3","RC4"
0.684,0.068,-0.095,-0.084
0.717,-0.099,-0.134,0.004
0.649,-0.018,-0.029,0.154
0.644,0.013,-0.007,0.006
0.617,-0.202,0.133,0.037
0.567,0.216,-0.099,0.075
0.588,0.227,0.033,-0.136
0.545,-0.04,0.127,-0.049
0.477,0.043,0.184,0.087
0.481,0.061,0.209,-0.084
0.06,0.883,-0.039,-0.075
-0.082,0.79,0.009,0.139
0.032,0.73,-0.084,0.024
0.154,0.688,-0.096,0.064
0.206,0.654,-0.15,0.016
-0.015,0.624,0.269,-0.227
-0.225,0.583,0.197,0.203
0.006,-0.021,0.624,0.226
0.066,-0.073,0.65,-0.011
0.158,-0.087,0.611,-0.139
-0.051,0.018,0.681,0.234
0.047,0.17,0.564,-0.16
0.207,0.002,-0.113,0.771
-0.036,0.03,0.133,0.788
-0.108,0.091,0.069,0.787
0.658,0.606,0.332,0.296
0.993,0.047,0.047,0.002
0.03,0.994,0.027,0.021
0.062,0,0.983,0.067
0.025,0.051,0.039,0.985
