"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"1","Helplessness","=~","Help1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.438","0.030","0.000","[0.380, 0.496]","0.438***","1.000","Mild","Helplessness.BY.Help1.Mild",""
"2","Helplessness","=~","Help2","1.383","0.107","0.000","[1.173, 1.593]","1.383***","0.560","0.029","0.000","[0.504, 0.616]","0.560***","1.000","Mild","Helplessness.BY.Help2.Mild",".p2."
"3","Helplessness","=~","Help3","1.212","0.102","0.000","[1.011, 1.413]","1.212***","0.472","0.029","0.000","[0.414, 0.529]","0.472***","1.000","Mild","Helplessness.BY.Help3.Mild",".p3."
"4","Helplessness","=~","Help4","1.299","0.105","0.000","[1.093, 1.504]","1.299***","0.515","0.029","0.000","[0.458, 0.572]","0.515***","1.000","Mild","Helplessness.BY.Help4.Mild",".p4."
"5","Helplessness","=~","Help5","1.477","0.113","0.000","[1.255, 1.699]","1.477***","0.574","0.028","0.000","[0.518, 0.630]","0.574***","1.000","Mild","Helplessness.BY.Help5.Mild",".p5."
"6","Minimization","=~","Min1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.520","0.048","0.000","[0.425, 0.614]","0.520***","1.000","Mild","Minimization.BY.Min1.Mild",""
"7","Minimization","=~","Min2","0.841","0.119","0.000","[0.607, 1.075]","0.841***","0.440","0.046","0.000","[0.350, 0.530]","0.440***","1.000","Mild","Minimization.BY.Min2.Mild",".p7."
"8","Minimization","=~","Min3","0.738","0.110","0.000","[0.523, 0.954]","0.738***","0.391","0.045","0.000","[0.303, 0.480]","0.391***","1.000","Mild","Minimization.BY.Min3.Mild",".p8."
"9","DenialPersonhood","=~","Per1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.518","0.030","0.000","[0.460, 0.575]","0.518***","1.000","Mild","DenialPersonhood.BY.Per1.Mild",""
"10","DenialPersonhood","=~","Per2","1.030","0.072","0.000","[0.888, 1.172]","1.030***","0.596","0.028","0.000","[0.540, 0.652]","0.596***","1.000","Mild","DenialPersonhood.BY.Per2.Mild",".p10."
"11","DenialPersonhood","=~","Per3","1.033","0.073","0.000","[0.890, 1.177]","1.033***","0.588","0.029","0.000","[0.532, 0.644]","0.588***","1.000","Mild","DenialPersonhood.BY.Per3.Mild",".p11."
"12","DenialPersonhood","=~","Per4","0.819","0.068","0.000","[0.685, 0.952]","0.819***","0.456","0.030","0.000","[0.397, 0.515]","0.456***","1.000","Mild","DenialPersonhood.BY.Per4.Mild",".p12."
"13","DenialPersonhood","=~","Per5","0.790","0.071","0.000","[0.650, 0.930]","0.790***","0.405","0.031","0.000","[0.345, 0.465]","0.405***","1.000","Mild","DenialPersonhood.BY.Per5.Mild",".p13."
"14","Otherization","=~","Oth1","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.587","0.029","0.000","[0.530, 0.645]","0.587***","1.000","Mild","Otherization.BY.Oth1.Mild",""
"15","Otherization","=~","Oth2","0.876","0.067","0.000","[0.745, 1.007]","0.876***","0.542","0.030","0.000","[0.483, 0.601]","0.542***","1.000","Mild","Otherization.BY.Oth2.Mild",".p15."
"16","Otherization","=~","Oth3","0.953","0.070","0.000","[0.816, 1.090]","0.953***","0.574","0.030","0.000","[0.516, 0.632]","0.574***","1.000","Mild","Otherization.BY.Oth3.Mild",".p16."
"17","Otherization","=~","Oth4","0.801","0.070","0.000","[0.664, 0.938]","0.801***","0.452","0.032","0.000","[0.389, 0.514]","0.452***","1.000","Mild","Otherization.BY.Oth4.Mild",".p17."
"18","Otherization","=~","Oth5","0.620","0.059","0.000","[0.505, 0.735]","0.620***","0.409","0.033","0.000","[0.345, 0.473]","0.409***","1.000","Mild","Otherization.BY.Oth5.Mild",".p18."
"19","Otherization","=~","Oth6","0.573","0.060","0.000","[0.454, 0.691]","0.573***","0.360","0.033","0.000","[0.295, 0.425]","0.360***","1.000","Mild","Otherization.BY.Oth6.Mild",".p19."
"20","Otherization","=~","Oth7","0.619","0.063","0.000","[0.497, 0.742]","0.619***","0.377","0.033","0.000","[0.313, 0.442]","0.377***","1.000","Mild","Otherization.BY.Oth7.Mild",".p20."
"21","Help1","~~","Help1","0.447","0.024","0.000","[0.400, 0.494]","0.447***","0.808","0.026","0.000","[0.758, 0.859]","0.808***","1.000","Mild","Variances.Help1.Mild",".p21."
"22","Help2","~~","Help2","0.443","0.026","0.000","[0.392, 0.494]","0.443***","0.686","0.032","0.000","[0.623, 0.749]","0.686***","1.000","Mild","Variances.Help2.Mild",".p22."
"23","Help3","~~","Help3","0.545","0.030","0.000","[0.486, 0.603]","0.545***","0.778","0.028","0.000","[0.723, 0.832]","0.778***","1.000","Mild","Variances.Help3.Mild",".p23."
"24","Help4","~~","Help4","0.496","0.028","0.000","[0.441, 0.551]","0.496***","0.735","0.030","0.000","[0.676, 0.793]","0.735***","1.000","Mild","Variances.Help4.Mild",".p24."
"25","Help5","~~","Help5","0.471","0.028","0.000","[0.416, 0.526]","0.471***","0.670","0.033","0.000","[0.607, 0.734]","0.670***","1.000","Mild","Variances.Help5.Mild",".p25."
"26","Min1","~~","Min1","0.486","0.037","0.000","[0.414, 0.558]","0.486***","0.730","0.050","0.000","[0.632, 0.828]","0.730***","1.000","Mild","Variances.Min1.Mild",".p26."
"27","Min2","~~","Min2","0.529","0.033","0.000","[0.463, 0.594]","0.529***","0.806","0.040","0.000","[0.727, 0.885]","0.806***","1.000","Mild","Variances.Min2.Mild",".p27."
"28","Min3","~~","Min3","0.542","0.032","0.000","[0.480, 0.605]","0.542***","0.847","0.035","0.000","[0.778, 0.916]","0.847***","1.000","Mild","Variances.Min3.Mild",".p28."
"29","Per1","~~","Per1","0.528","0.030","0.000","[0.469, 0.586]","0.528***","0.732","0.031","0.000","[0.672, 0.792]","0.732***","1.000","Mild","Variances.Per1.Mild",".p29."
"30","Per2","~~","Per2","0.372","0.023","0.000","[0.327, 0.416]","0.372***","0.645","0.034","0.000","[0.578, 0.711]","0.645***","1.000","Mild","Variances.Per2.Mild",".p30."
