,Ordinary,Standardized,
 
,Estimate,SE,p-value,Estimate,

,Factor Loadings,
 AS,

Others expect me to be submissive,1.00+,,,0.60,

Others have been surprised when I disagree with them,1.13**,0.14,.000,0.62,

Others take my silence as a sign of compliance,0.96**,0.12,.000,0.56,

Others have been surprised when I do things independent of my family,0.90**,0.12,.000,0.54,

Others have implied that AAW seem content for being a subordinate,1.15**,0.13,.000,0.65,

Others treat me as if I will always comply with their requests,0.67**,0.09,.000,0.50,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,0.83**,0.12,.000,0.49,

Others have hinted that AAW are not assertive enough to be leaders,0.90**,0.12,.000,0.54,

Others have hinted that AAW seem to have no desire for leadership,0.76**,0.10,.000,0.51,

 AF,

Others express sexual interest in me because of my Asian appearance,1.00+,,,0.56,

Others take sexual interest in AAW to fulfill their fantasy,1.19**,0.17,.000,0.62,

Others take romantic interest in AAW just because they never had sex with an AAW before,0.74**,0.14,.000,0.42,

Others have treated me as if I am always open to sexual advances,1.14**,0.17,.000,0.58,

 MI,

I see non-Asian women being casted to play female Asian characters,1.00+,,,0.58,

I rarely see AAW playing the lead role in the media,0.92**,0.15,.000,0.50,

I rarely see AAW in the media,1.17**,0.18,.000,0.55,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,0.92**,0.16,.000,0.46,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,0.69**,0.14,.000,0.38,

 AUA,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),1.00+,,,0.54,

Others have suggested that all AAW look alike,0.98**,0.14,.000,0.61,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,0.78**,0.12,.000,0.53,

Others have pointed out physical traits in AAW that do not look 'Asian',1.08**,0.15,.000,0.63,

,Intercepts,

Others expect me to be submissive,,,,0.00,

Others have been surprised when I disagree with them,,,,-0.00,

Others take my silence as a sign of compliance,,,,0.00,

Others have been surprised when I do things independent of my family,,,,-0.00,

Others have implied that AAW seem content for being a subordinate,,,,-0.00,

Others treat me as if I will always comply with their requests,,,,-0.00,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,,,,0.00,

Others have hinted that AAW are not assertive enough to be leaders,,,,-0.00,

Others have hinted that AAW seem to have no desire for leadership,,,,-0.00,

Others express sexual interest in me because of my Asian appearance,,,,-0.00,

Others take sexual interest in AAW to fulfill their fantasy,,,,0.00,

Others take romantic interest in AAW just because they never had sex with an AAW before,,,,0.00,

Others have treated me as if I am always open to sexual advances,,,,-0.00,

I see non-Asian women being casted to play female Asian characters,,,,0.00,

I rarely see AAW playing the lead role in the media,,,,-0.00,

I rarely see AAW in the media,,,,-0.00,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,,,,0.00,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,,,,0.00,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),,,,-0.00,

Others have suggested that all AAW look alike,,,,0.00,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,,,,0.00,

Others have pointed out physical traits in AAW that do not look 'Asian',,,,-0.00,

,Residual Variances,

Others expect me to be submissive,0.54**,0.05,.000,0.64,

Others have been surprised when I disagree with them,0.63**,0.06,.000,0.62,

Others take my silence as a sign of compliance,0.61**,0.05,.000,0.68,

Others have been surprised when I do things independent of my family,0.61**,0.05,.000,0.71,

Others have implied that AAW seem content for being a subordinate,0.56**,0.05,.000,0.58,

Others treat me as if I will always comply with their requests,0.40**,0.04,.000,0.74,

Others expect me to sacrifice my own needs to take care of others (eg family partner) ecause I am an AAW,0.64**,0.06,.000,0.75,

Others have hinted that AAW are not assertive enough to be leaders,0.60**,0.05,.000,0.71,

Others have hinted that AAW seem to have no desire for leadership,0.48**,0.04,.000,0.73,

Others express sexual interest in me because of my Asian appearance,0.55**,0.06,.000,0.68,

Others take sexual interest in AAW to fulfill their fantasy,0.58**,0.06,.000,0.61,

Others take romantic interest in AAW just because they never had sex with an AAW before,0.64**,0.06,.000,0.82,

Others have treated me as if I am always open to sexual advances,0.64**,0.07,.000,0.66,

I see non-Asian women being casted to play female Asian characters,0.47**,0.05,.000,0.66,

I rarely see AAW playing the lead role in the media,0.58**,0.05,.000,0.75,

I rarely see AAW in the media,0.73**,0.07,.000,0.69,

I see AAW playing the same type of characters (eg Kung Fu woman sidekick mistress tiger mom) in the media,0.73**,0.07,.000,0.78,

I see AAW charaters being portrayed as emotionally distanct (eg cold-hearted lack of empathy) in the media,0.67**,0.06,.000,0.86,

Others have talked about AAW as if they all have the same facial features (eg eye shape skin tone),0.73**,0.07,.000,0.70,

Others have suggested that all AAW look alike,0.50**,0.05,.000,0.63,

Others have talked about AAW as if they all have the same body type (eg petite tiny small-chested,0.49**,0.05,.000,0.72,

Others have pointed out physical traits in AAW that do not look 'Asian',0.55**,0.06,.000,0.60,

,Latent Intercepts,

AS,,,,0.00+,

AF,,,,0.00+,

MI,,,,0.00+,

AUA,,,,0.00+,

,Latent Variances,

AS,0.30**,0.06,.000,1.00+,

AF,0.26**,0.06,.000,1.00+,

MI,0.23**,0.05,.000,1.00+,

AUA,0.31**,0.07,.000,1.00+,

,Latent Covariances,

AS w/AF,0.15**,0.03,.000,0.53,

AS w/MI,0.14**,0.03,.000,0.51,

AS w/AUA,0.18**,0.03,.000,0.60,

AF w/MI,0.15**,0.03,.000,0.63,

AF w/AUA,0.16**,0.03,.000,0.59,

MI w/AUA,0.19**,0.04,.000,0.71,

,Fit Indices,

chi^2,232.45(203) ,,.076,232.45(203),

DF,203.00,,,203.00,

PVALUE,0.08,,,0.08,

CFI,0.98,,,0.98,

RMSEA,0.02,,,0.02,

RMSEA.CI.LOWER,0.00,,,0.00,

RMSEA.CI.UPPER,0.03,,,0.03,

SRMR,0.05,,,0.04,

AIC,16662.03,,,17894.82,

BIC,16847.88,,,18162.45,

+Fixed parameter,



