"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.826","0.023","0.000","[0.781, 0.870]","0.826***","TradPed.BY.ClearResponsibilities"
"2","TradPed","=~","EffectiveAnswers","1.015","0.065","0.000","[0.888, 1.143]","1.015***","0.815","0.024","0.000","[0.768, 0.861]","0.815***","TradPed.BY.EffectiveAnswers"
"3","TradPed","=~","Feedback","1.010","0.075","0.000","[0.864, 1.157]","1.010***","0.735","0.031","0.000","[0.674, 0.795]","0.735***","TradPed.BY.Feedback"
"4","TradPed","=~","ClearOrganization","1.295","0.086","0.000","[1.127, 1.463]","1.295***","0.797","0.025","0.000","[0.747, 0.847]","0.797***","TradPed.BY.ClearOrganization"
"5","TradPed","=~","ClearPresentation","1.204","0.072","0.000","[1.062, 1.345]","1.204***","0.853","0.020","0.000","[0.813, 0.892]","0.853***","TradPed.BY.ClearPresentation"
"6","Valued","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.557","0.048","0.000","[0.463, 0.651]","0.557***","Valued.BY.ValObjectives"
"7","Valued","=~","IncrUnderstanding","1.942","0.223","0.000","[1.505, 2.378]","1.942***","0.786","0.032","0.000","[0.724, 0.849]","0.786***","Valued.BY.IncrUnderstanding"
"8","Valued","=~","IncrInterest","2.438","0.273","0.000","[1.903, 2.973]","2.438***","0.844","0.029","0.000","[0.788, 0.900]","0.844***","Valued.BY.IncrInterest"
"9","SCRPed","=~","MultPerspectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.846","0.026","0.000","[0.795, 0.896]","0.846***","SCRPed.BY.MultPerspectives"
"10","SCRPed","=~","InclusvClassrm","0.622","0.053","0.000","[0.518, 0.727]","0.622***","0.682","0.038","0.000","[0.608, 0.757]","0.682***","SCRPed.BY.InclusvClassrm"
"11","SCRPed","=~","DEIintegration","0.589","0.063","0.000","[0.466, 0.712]","0.589***","0.567","0.046","0.000","[0.477, 0.658]","0.567***","SCRPed.BY.DEIintegration"
"12","SCRPed","=~","EquitableEval","0.642","0.052","0.000","[0.541, 0.744]","0.642***","0.717","0.035","0.000","[0.648, 0.786]","0.717***","SCRPed.BY.EquitableEval"
"13","Evals","=~","TradPed","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.980","0.028","0.000","[0.926, 1.034]","0.980***","Evals.BY.TradPed"
"14","Evals","=~","Valued","0.419","0.055","0.000","[0.311, 0.527]","0.419***","0.801","0.037","0.000","[0.729, 0.874]","0.801***","Evals.BY.Valued"
"15","Evals","=~","SCRPed","0.958","0.086","0.000","[0.789, 1.126]","0.958***","0.859","0.033","0.000","[0.793, 0.924]","0.859***","Evals.BY.SCRPed"
"16","ClearResponsibilities","~~","ClearResponsibilities","0.199","0.021","0.000","[0.158, 0.240]","0.199***","0.319","0.038","0.000","[0.245, 0.392]","0.319***","Variances.ClearResponsibilities"
"17","EffectiveAnswers","~~","EffectiveAnswers","0.222","0.023","0.000","[0.177, 0.267]","0.222***","0.336","0.039","0.000","[0.260, 0.412]","0.336***","Variances.EffectiveAnswers"
"18","Feedback","~~","Feedback","0.371","0.036","0.000","[0.301, 0.441]","0.371***","0.460","0.046","0.000","[0.371, 0.550]","0.460***","Variances.Feedback"
"19","ClearOrganization","~~","ClearOrganization","0.410","0.042","0.000","[0.329, 0.492]","0.410***","0.365","0.041","0.000","[0.286, 0.445]","0.365***","Variances.ClearOrganization"
"20","ClearPresentation","~~","ClearPresentation","0.232","0.026","0.000","[0.181, 0.283]","0.232***","0.273","0.034","0.000","[0.206, 0.341]","0.273***","Variances.ClearPresentation"
"21","ValObjectives","~~","ValObjectives","0.248","0.023","0.000","[0.203, 0.294]","0.248***","0.690","0.053","0.000","[0.585, 0.794]","0.690***","Variances.ValObjectives"
"22","IncrUnderstanding","~~","IncrUnderstanding","0.260","0.032","0.000","[0.197, 0.324]","0.260***","0.382","0.050","0.000","[0.284, 0.480]","0.382***","Variances.IncrUnderstanding"
"23","IncrInterest","~~","IncrInterest","0.268","0.043","0.000","[0.185, 0.352]","0.268***","0.288","0.048","0.000","[0.193, 0.383]","0.288***","Variances.IncrInterest"
"24","MultPerspectives","~~","MultPerspectives","0.203","0.029","0.000","[0.146, 0.259]","0.203***","0.285","0.044","0.000","[0.200, 0.370]","0.285***","Variances.MultPerspectives"
"25","InclusvClassrm","~~","InclusvClassrm","0.226","0.023","0.000","[0.182, 0.270]","0.226***","0.534","0.052","0.000","[0.433, 0.636]","0.534***","Variances.InclusvClassrm"
"26","DEIintegration","~~","DEIintegration","0.371","0.035","0.000","[0.304, 0.439]","0.371***","0.678","0.053","0.000","[0.575, 0.781]","0.678***","Variances.DEIintegration"
"27","EquitableEval","~~","EquitableEval","0.198","0.020","0.000","[0.158, 0.238]","0.198***","0.486","0.051","0.000","[0.386, 0.585]","0.486***","Variances.EquitableEval"
"28","TradPed","~~","TradPed","0.017","0.023","0.467","[-0.028, 0.062]","0.017","0.039","0.054","0.466","[-0.067, 0.146]","0.039","Variances.TradPed"
"29","Valued","~~","Valued","0.040","0.010","0.000","[0.020, 0.060]","0.040***","0.358","0.059","0.000","[0.242, 0.474]","0.358***","Variances.Valued"
"30","SCRPed","~~","SCRPed","0.134","0.032","0.000","[0.072, 0.196]","0.134***","0.263","0.057","0.000","[0.151, 0.375]","0.263***","Variances.SCRPed"
"31","Evals","~~","Evals","0.409","0.056","0.000","[0.299, 0.519]","0.409***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.Evals"
