"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","label"
"1","CTR","=~","CEN","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","0.000",NA,"[1.000, 1.000]","1.000","CTR.BY.CEN"
"2","TrP","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.824","0.036","0.000","[0.754, 0.894]","0.824***","TrP.BY.ClearResponsibilities"
"3","TrP","=~","EffectiveAnswers","1.259","0.102","0.000","[1.058, 1.460]","1.259***","0.916","0.024","0.000","[0.869, 0.962]","0.916***","TrP.BY.EffectiveAnswers"
"4","TrP","=~","Feedback","0.939","0.133","0.000","[0.678, 1.200]","0.939***","0.623","0.062","0.000","[0.502, 0.744]","0.623***","TrP.BY.Feedback"
"5","TrP","=~","ClearOrganization","1.402","0.155","0.000","[1.098, 1.706]","1.402***","0.761","0.045","0.000","[0.672, 0.849]","0.761***","TrP.BY.ClearOrganization"
"6","TrP","=~","ClearPresentation","1.377","0.141","0.000","[1.100, 1.653]","1.377***","0.810","0.038","0.000","[0.735, 0.885]","0.810***","TrP.BY.ClearPresentation"
"7","SRP","=~","InclusvClassrm","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.857","0.041","0.000","[0.777, 0.937]","0.857***","SRP.BY.InclusvClassrm"
"8","SRP","=~","EquitableEval","0.732","0.090","0.000","[0.556, 0.908]","0.732***","0.725","0.054","0.000","[0.619, 0.831]","0.725***","SRP.BY.EquitableEval"
"9","SRP","=~","MultPerspectives","1.132","0.131","0.000","[0.875, 1.390]","1.132***","0.794","0.048","0.000","[0.700, 0.887]","0.794***","SRP.BY.MultPerspectives"
"10","SRP","=~","DEIintegration","1.012","0.119","0.000","[0.779, 1.246]","1.012***","0.771","0.051","0.000","[0.672, 0.870]","0.771***","SRP.BY.DEIintegration"
"11","Val","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.659","0.067","0.000","[0.526, 0.791]","0.659***","Val.BY.ValObjectives"
"12","Val","=~","IncrUnderstanding","1.582","0.234","0.000","[1.124, 2.040]","1.582***","0.781","0.054","0.000","[0.674, 0.887]","0.781***","Val.BY.IncrUnderstanding"
"13","Val","=~","IncrInterest","2.261","0.319","0.000","[1.635, 2.887]","2.261***","0.828","0.044","0.000","[0.741, 0.915]","0.828***","Val.BY.IncrInterest"
"14","CTR","~~","CEN","0.000","0.000",NA,"[0.000, 0.000]","0.000",NA,NA,NA,NA,NA,"CTR.WITH.CEN"
"15","Val","~","CTR","-0.039","0.054","0.474","[-0.146, 0.068]","-0.039","-0.052","0.074","0.480","[-0.196, 0.092]","-0.052","Val.ON.CTR"
"16","Val","~","TrP","0.638","0.125","0.000","[0.393, 0.884]","0.638***","0.856","0.058","0.000","[0.742, 0.971]","0.856***","Val.ON.TrP"
"17","Val","~","SRP","0.016","0.080","0.844","[-0.141, 0.172]","0.016","0.024","0.121","0.846","[-0.214, 0.261]","0.024","Val.ON.SRP"
"18","CEN","~~","CEN","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","Variances.CEN"
"19","ClearResponsibilities","~~","ClearResponsibilities","0.116","0.019","0.000","[0.078, 0.154]","0.116***","0.321","0.059","0.000","[0.205, 0.436]","0.321***","Variances.ClearResponsibilities"
"20","EffectiveAnswers","~~","EffectiveAnswers","0.075","0.018","0.000","[0.039, 0.111]","0.075***","0.161","0.043","0.000","[0.076, 0.246]","0.161***","Variances.EffectiveAnswers"
"21","Feedback","~~","Feedback","0.341","0.048","0.000","[0.247, 0.436]","0.341***","0.612","0.077","0.000","[0.461, 0.763]","0.612***","Variances.Feedback"
"22","ClearOrganization","~~","ClearOrganization","0.352","0.054","0.000","[0.245, 0.458]","0.352***","0.422","0.069","0.000","[0.287, 0.556]","0.422***","Variances.ClearOrganization"
"23","ClearPresentation","~~","ClearPresentation","0.244","0.040","0.000","[0.165, 0.322]","0.244***","0.343","0.062","0.000","[0.222, 0.465]","0.343***","Variances.ClearPresentation"
"24","InclusvClassrm","~~","InclusvClassrm","0.111","0.027","0.000","[0.058, 0.165]","0.111***","0.266","0.070","0.000","[0.129, 0.403]","0.266***","Variances.InclusvClassrm"
"25","EquitableEval","~~","EquitableEval","0.149","0.024","0.000","[0.101, 0.196]","0.149***","0.475","0.078","0.000","[0.321, 0.628]","0.475***","Variances.EquitableEval"
"26","MultPerspectives","~~","MultPerspectives","0.232","0.045","0.000","[0.144, 0.319]","0.232***","0.370","0.076","0.000","[0.222, 0.518]","0.370***","Variances.MultPerspectives"
"27","DEIintegration","~~","DEIintegration","0.215","0.039","0.000","[0.138, 0.292]","0.215***","0.406","0.078","0.000","[0.253, 0.558]","0.406***","Variances.DEIintegration"
"28","ValObjectives","~~","ValObjectives","0.178","0.027","0.000","[0.124, 0.232]","0.178***","0.566","0.089","0.000","[0.392, 0.740]","0.566***","Variances.ValObjectives"
"29","IncrUnderstanding","~~","IncrUnderstanding","0.219","0.040","0.000","[0.141, 0.298]","0.219***","0.391","0.085","0.000","[0.225, 0.557]","0.391***","Variances.IncrUnderstanding"
"30","IncrInterest","~~","IncrInterest","0.320","0.070","0.000","[0.182, 0.458]","0.320***","0.315","0.074","0.000","[0.170, 0.459]","0.315***","Variances.IncrInterest"
"31","CTR","~~","CTR","0.244","0.033","0.000","[0.180, 0.307]","0.244***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.CTR"
"32","TrP","~~","TrP","0.246","0.047","0.000","[0.153, 0.338]","0.246***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.TrP"
"33","SRP","~~","SRP","0.307","0.059","0.000","[0.191, 0.423]","0.307***","1.000","0.000",NA,"[1.000, 1.000]","1.000","Variances.SRP"
"34","Val","~~","Val","0.036","0.013","0.005","[0.011, 0.061]","0.036**","0.264","0.095","0.006","[0.077, 0.450]","0.264**","Variances.Val"
"35","CEN","~1","","0.420","0.047","0.000","[0.328, 0.511]","0.420***","0.850","0.110","0.000","[0.634, 1.066]","0.850***","Means.CEN"
"36","ClearResponsibilities","~1","","4.616","0.057","0.000","[4.505, 4.727]","4.616***","7.677","0.522","0.000","[6.655, 8.699]","7.677***","Means.ClearResponsibilities"
"37","EffectiveAnswers","~1","","4.526","0.064","0.000","[4.400, 4.652]","4.526***","6.644","0.454","0.000","[5.754, 7.534]","6.644***","Means.EffectiveAnswers"
"38","Feedback","~1","","4.384","0.071","0.000","[4.246, 4.522]","4.384***","5.869","0.403","0.000","[5.078, 6.660]","5.869***","Means.Feedback"
"39","ClearOrganization","~1","","4.223","0.086","0.000","[4.054, 4.392]","4.223***","4.624","0.323","0.000","[3.991, 5.257]","4.624***","Means.ClearOrganization"
"40","ClearPresentation","~1","","4.348","0.080","0.000","[4.192, 4.504]","4.348***","5.164","0.358","0.000","[4.463, 5.865]","5.164***","Means.ClearPresentation"
"41","InclusvClassrm","~1","","4.628","0.062","0.000","[4.507, 4.749]","4.628***","7.151","0.494","0.000","[6.183, 8.119]","7.151***","Means.InclusvClassrm"
"42","EquitableEval","~1","","4.661","0.053","0.000","[4.557, 4.764]","4.661***","8.325","0.564","0.000","[7.219, 9.430]","8.325***","Means.EquitableEval"
