"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"1","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.788","0.027","0.000","[0.734, 0.842]","0.788***","1.000","CPY","TradPed.BY.ClearResponsibilities.CPY",""
"2","TradPed","=~","EffectiveAnswers","1.041","0.062","0.000","[0.920, 1.162]","1.041***","0.811","0.026","0.000","[0.761, 0.862]","0.811***","1.000","CPY","TradPed.BY.EffectiveAnswers.CPY",".p2."
"3","TradPed","=~","Feedback","0.977","0.074","0.000","[0.833, 1.122]","0.977***","0.726","0.034","0.000","[0.659, 0.794]","0.726***","1.000","CPY","TradPed.BY.Feedback.CPY",".p3."
"4","TradPed","=~","ClearOrganization","1.260","0.083","0.000","[1.098, 1.422]","1.260***","0.762","0.030","0.000","[0.703, 0.822]","0.762***","1.000","CPY","TradPed.BY.ClearOrganization.CPY",".p4."
"5","TradPed","=~","ClearPresentation","1.190","0.066","0.000","[1.060, 1.320]","1.190***","0.834","0.024","0.000","[0.788, 0.880]","0.834***","1.000","CPY","TradPed.BY.ClearPresentation.CPY",".p5."
"6","Valued","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.598","0.049","0.000","[0.502, 0.693]","0.598***","1.000","CPY","Valued.BY.ValObjectives.CPY",""
"7","Valued","=~","IncrUnderstanding","1.952","0.214","0.000","[1.532, 2.371]","1.952***","0.812","0.031","0.000","[0.751, 0.874]","0.812***","1.000","CPY","Valued.BY.IncrUnderstanding.CPY",".p7."
"8","Valued","=~","IncrInterest","2.330","0.253","0.000","[1.835, 2.825]","2.330***","0.834","0.030","0.000","[0.775, 0.892]","0.834***","1.000","CPY","Valued.BY.IncrInterest.CPY",".p8."
"9","SCRPed","=~","MultPerspectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.881","0.024","0.000","[0.834, 0.928]","0.881***","1.000","CPY","SCRPed.BY.MultPerspectives.CPY",""
"10","SCRPed","=~","InclusvClassrm","0.743","0.055","0.000","[0.634, 0.851]","0.743***","0.773","0.033","0.000","[0.708, 0.838]","0.773***","1.000","CPY","SCRPed.BY.InclusvClassrm.CPY",".p10."
"11","SCRPed","=~","DEIintegration","0.693","0.066","0.000","[0.563, 0.823]","0.693***","0.638","0.045","0.000","[0.550, 0.725]","0.638***","1.000","CPY","SCRPed.BY.DEIintegration.CPY",".p11."
