"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"1","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.788","0.027","0.000","[0.734, 0.842]","0.788***","1.000","CPY","TradPed.BY.ClearResponsibilities.CPY",""
"2","TradPed","=~","EffectiveAnswers","1.039","0.062","0.000","[0.918, 1.159]","1.039***","0.810","0.026","0.000","[0.760, 0.861]","0.810***","1.000","CPY","TradPed.BY.EffectiveAnswers.CPY",".p2."
"3","TradPed","=~","Feedback","0.982","0.074","0.000","[0.837, 1.126]","0.982***","0.728","0.034","0.000","[0.660, 0.795]","0.728***","1.000","CPY","TradPed.BY.Feedback.CPY",".p3."
"4","TradPed","=~","ClearOrganization","1.265","0.083","0.000","[1.102, 1.427]","1.265***","0.763","0.030","0.000","[0.704, 0.822]","0.763***","1.000","CPY","TradPed.BY.ClearOrganization.CPY",".p4."
"5","TradPed","=~","ClearPresentation","1.188","0.066","0.000","[1.059, 1.318]","1.188***","0.833","0.024","0.000","[0.787, 0.880]","0.833***","1.000","CPY","TradPed.BY.ClearPresentation.CPY",".p5."
"6","Valued","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.595","0.049","0.000","[0.499, 0.691]","0.595***","1.000","CPY","Valued.BY.ValObjectives.CPY",""
"7","Valued","=~","IncrUnderstanding","1.960","0.216","0.000","[1.536, 2.383]","1.960***","0.812","0.031","0.000","[0.750, 0.873]","0.812***","1.000","CPY","Valued.BY.IncrUnderstanding.CPY",".p7."
"8","Valued","=~","IncrInterest","2.351","0.256","0.000","[1.849, 2.853]","2.351***","0.835","0.030","0.000","[0.776, 0.893]","0.835***","1.000","CPY","Valued.BY.IncrInterest.CPY",".p8."
"9","SCRPed","=~","MultPerspectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.882","0.024","0.000","[0.835, 0.929]","0.882***","1.000","CPY","SCRPed.BY.MultPerspectives.CPY",""
"10","SCRPed","=~","InclusvClassrm","0.740","0.055","0.000","[0.631, 0.848]","0.740***","0.771","0.033","0.000","[0.705, 0.836]","0.771***","1.000","CPY","SCRPed.BY.InclusvClassrm.CPY",".p10."
"11","SCRPed","=~","DEIintegration","0.690","0.066","0.000","[0.560, 0.820]","0.690***","0.636","0.045","0.000","[0.548, 0.724]","0.636***","1.000","CPY","SCRPed.BY.DEIintegration.CPY",".p11."
"12","SCRPed","=~","EquitableEval","0.626","0.053","0.000","[0.522, 0.731]","0.626***","0.707","0.039","0.000","[0.630, 0.784]","0.707***","1.000","CPY","SCRPed.BY.EquitableEval.CPY",".p12."
"13","TradPed","~~","Valued","0.191","0.029","0.000","[0.134, 0.248]","0.191***","0.875","0.031","0.000","[0.814, 0.936]","0.875***","1.000","CPY","TradPed.WITH.Valued.CPY",""
"14","TradPed","~~","SCRPed","0.363","0.046","0.000","[0.272, 0.453]","0.363***","0.841","0.032","0.000","[0.778, 0.903]","0.841***","1.000","CPY","TradPed.WITH.SCRPed.CPY",""
"15","Valued","~~","SCRPed","0.162","0.028","0.000","[0.107, 0.217]","0.162***","0.658","0.054","0.000","[0.552, 0.763]","0.658***","1.000","CPY","Valued.WITH.SCRPed.CPY",""
"16","ClearResponsibilities","~~","ClearResponsibilities","0.233","0.027","0.000","[0.181, 0.286]","0.233***","0.379","0.043","0.000","[0.294, 0.463]","0.379***","1.000","CPY","Variances.ClearResponsibilities.CPY",""
"17","EffectiveAnswers","~~","EffectiveAnswers","0.216","0.025","0.000","[0.166, 0.266]","0.216***","0.344","0.042","0.000","[0.261, 0.426]","0.344***","1.000","CPY","Variances.EffectiveAnswers.CPY",""
"18","Feedback","~~","Feedback","0.328","0.036","0.000","[0.258, 0.398]","0.328***","0.471","0.050","0.000","[0.373, 0.569]","0.471***","1.000","CPY","Variances.Feedback.CPY",""
"19","ClearOrganization","~~","ClearOrganization","0.439","0.049","0.000","[0.343, 0.536]","0.439***","0.418","0.046","0.000","[0.327, 0.508]","0.418***","1.000","CPY","Variances.ClearOrganization.CPY",""
"20","ClearPresentation","~~","ClearPresentation","0.238","0.029","0.000","[0.181, 0.295]","0.238***","0.306","0.039","0.000","[0.228, 0.383]","0.306***","1.000","CPY","Variances.ClearPresentation.CPY",""
"21","ValObjectives","~~","ValObjectives","0.227","0.025","0.000","[0.179, 0.276]","0.227***","0.646","0.058","0.000","[0.532, 0.760]","0.646***","1.000","CPY","Variances.ValObjectives.CPY",""
"22","IncrUnderstanding","~~","IncrUnderstanding","0.248","0.035","0.000","[0.179, 0.316]","0.248***","0.341","0.051","0.000","[0.242, 0.441]","0.341***","1.000","CPY","Variances.IncrUnderstanding.CPY",""
"23","IncrInterest","~~","IncrInterest","0.300","0.046","0.000","[0.210, 0.390]","0.300***","0.304","0.050","0.000","[0.206, 0.401]","0.304***","1.000","CPY","Variances.IncrInterest.CPY",""
"24","MultPerspectives","~~","MultPerspectives","0.139","0.025","0.000","[0.091, 0.187]","0.139***","0.223","0.042","0.000","[0.140, 0.306]","0.223***","1.000","CPY","Variances.MultPerspectives.CPY",""
"25","InclusvClassrm","~~","InclusvClassrm","0.181","0.022","0.000","[0.138, 0.225]","0.181***","0.406","0.052","0.000","[0.305, 0.507]","0.406***","1.000","CPY","Variances.InclusvClassrm.CPY",""
"26","DEIintegration","~~","DEIintegration","0.341","0.037","0.000","[0.268, 0.413]","0.341***","0.596","0.057","0.000","[0.484, 0.707]","0.596***","1.000","CPY","Variances.DEIintegration.CPY",""
"27","EquitableEval","~~","EquitableEval","0.190","0.022","0.000","[0.148, 0.232]","0.190***","0.500","0.056","0.000","[0.391, 0.609]","0.500***","1.000","CPY","Variances.EquitableEval.CPY",""
"28","TradPed","~~","TradPed","0.383","0.052","0.000","[0.281, 0.484]","0.383***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.TradPed.CPY",""
"29","Valued","~~","Valued","0.125","0.027","0.000","[0.071, 0.178]","0.125***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.Valued.CPY",""
"30","SCRPed","~~","SCRPed","0.486","0.063","0.000","[0.361, 0.610]","0.486***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","CPY","Variances.SCRPed.CPY",""
"31","ClearResponsibilities","~1","","4.513","0.052","0.000","[4.411, 4.616]","4.513***","5.750","0.271","0.000","[5.220, 6.280]","5.750***","1.000","CPY","Means.ClearResponsibilities.CPY",".p31."
"32","EffectiveAnswers","~1","","4.429","0.054","0.000","[4.324, 4.534]","4.429***","5.584","0.268","0.000","[5.058, 6.110]","5.584***","1.000","CPY","Means.EffectiveAnswers.CPY",".p32."
"33","Feedback","~1","","4.307","0.057","0.000","[4.196, 4.418]","4.307***","5.159","0.254","0.000","[4.662, 5.656]","5.159***","1.000","CPY","Means.Feedback.CPY",".p33."
"34","ClearOrganization","~1","","4.082","0.069","0.000","[3.947, 4.217]","4.082***","3.980","0.196","0.000","[3.597, 4.364]","3.980***","1.000","CPY","Means.ClearOrganization.CPY",".p34."
"35","ClearPresentation","~1","","4.299","0.060","0.000","[4.182, 4.416]","4.299***","4.872","0.237","0.000","[4.408, 5.336]","4.872***","1.000","CPY","Means.ClearPresentation.CPY",".p35."
"36","ValObjectives","~1","","4.539","0.039","0.000","[4.462, 4.616]","4.539***","7.650","0.379","0.000","[6.907, 8.393]","7.650***","1.000","CPY","Means.ValObjectives.CPY",".p36."
"37","IncrUnderstanding","~1","","4.276","0.058","0.000","[4.161, 4.390]","4.276***","5.017","0.256","0.000","[4.515, 5.519]","5.017***","1.000","CPY","Means.IncrUnderstanding.CPY",".p37."
"38","IncrInterest","~1","","3.961","0.069","0.000","[3.826, 4.095]","3.961***","3.983","0.208","0.000","[3.576, 4.391]","3.983***","1.000","CPY","Means.IncrInterest.CPY",".p38."
"39","MultPerspectives","~1","","4.479","0.055","0.000","[4.371, 4.587]","4.479***","5.666","0.289","0.000","[5.100, 6.233]","5.666***","1.000","CPY","Means.MultPerspectives.CPY",".p39."
"40","InclusvClassrm","~1","","4.675","0.046","0.000","[4.585, 4.764]","4.675***","6.991","0.349","0.000","[6.307, 7.675]","6.991***","1.000","CPY","Means.InclusvClassrm.CPY",".p40."
"41","DEIintegration","~1","","4.550","0.050","0.000","[4.452, 4.648]","4.550***","6.016","0.299","0.000","[5.429, 6.602]","6.016***","1.000","CPY","Means.DEIintegration.CPY",".p41."
"42","EquitableEval","~1","","4.595","0.042","0.000","[4.513, 4.677]","4.595***","7.449","0.371","0.000","[6.722, 8.176]","7.449***","1.000","CPY","Means.EquitableEval.CPY",".p42."
"43","TradPed","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","CPY","Means.TradPed.CPY",""
"44","Valued","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","CPY","Means.Valued.CPY",""
"45","SCRPed","~1","","0.000","0.000",NA,"[0.000, 0.000]","0.000","0.000","0.000",NA,"[0.000, 0.000]","0.000","1.000","CPY","Means.SCRPed.CPY",""
"46","TradPed","=~","ClearResponsibilities","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.908","0.026","0.000","[0.858, 0.958]","0.908***","2.000","ORG","TradPed.BY.ClearResponsibilities.ORG",""
"47","TradPed","=~","EffectiveAnswers","1.039","0.062","0.000","[0.918, 1.159]","1.039***","0.887","0.029","0.000","[0.831, 0.944]","0.887***","2.000","ORG","TradPed.BY.EffectiveAnswers.ORG",".p2."
"48","TradPed","=~","Feedback","0.982","0.074","0.000","[0.837, 1.126]","0.982***","0.693","0.053","0.000","[0.589, 0.796]","0.693***","2.000","ORG","TradPed.BY.Feedback.ORG",".p3."
"49","TradPed","=~","ClearOrganization","1.265","0.083","0.000","[1.102, 1.427]","1.265***","0.834","0.038","0.000","[0.760, 0.907]","0.834***","2.000","ORG","TradPed.BY.ClearOrganization.ORG",".p4."
"50","TradPed","=~","ClearPresentation","1.188","0.066","0.000","[1.059, 1.318]","1.188***","0.926","0.022","0.000","[0.882, 0.970]","0.926***","2.000","ORG","TradPed.BY.ClearPresentation.ORG",".p5."
"51","Valued","=~","ValObjectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.454","0.065","0.000","[0.326, 0.582]","0.454***","2.000","ORG","Valued.BY.ValObjectives.ORG",""
"52","Valued","=~","IncrUnderstanding","1.960","0.216","0.000","[1.536, 2.383]","1.960***","0.758","0.063","0.000","[0.635, 0.881]","0.758***","2.000","ORG","Valued.BY.IncrUnderstanding.ORG",".p7."
"53","Valued","=~","IncrInterest","2.351","0.256","0.000","[1.849, 2.853]","2.351***","0.769","0.063","0.000","[0.646, 0.891]","0.769***","2.000","ORG","Valued.BY.IncrInterest.ORG",".p8."
"54","SCRPed","=~","MultPerspectives","1.000","0.000",NA,"[1.000, 1.000]","1.000","0.592","0.070","0.000","[0.454, 0.730]","0.592***","2.000","ORG","SCRPed.BY.MultPerspectives.ORG",""
"55","SCRPed","=~","InclusvClassrm","0.740","0.055","0.000","[0.631, 0.848]","0.740***","0.656","0.072","0.000","[0.515, 0.798]","0.656***","2.000","ORG","SCRPed.BY.InclusvClassrm.ORG",".p10."
"56","SCRPed","=~","DEIintegration","0.690","0.066","0.000","[0.560, 0.820]","0.690***","0.540","0.072","0.000","[0.398, 0.681]","0.540***","2.000","ORG","SCRPed.BY.DEIintegration.ORG",".p11."
"57","SCRPed","=~","EquitableEval","0.626","0.053","0.000","[0.522, 0.731]","0.626***","0.506","0.069","0.000","[0.371, 0.642]","0.506***","2.000","ORG","SCRPed.BY.EquitableEval.ORG",".p12."
"58","TradPed","~~","Valued","0.126","0.037","0.001","[0.052, 0.199]","0.126***","0.584","0.107","0.000","[0.375, 0.793]","0.584***","2.000","ORG","TradPed.WITH.Valued.ORG",""
"59","TradPed","~~","SCRPed","0.277","0.074","0.000","[0.132, 0.421]","0.277***","0.678","0.103","0.000","[0.475, 0.880]","0.678***","2.000","ORG","TradPed.WITH.SCRPed.ORG",""
"60","Valued","~~","SCRPed","0.114","0.032","0.000","[0.051, 0.177]","0.114***","0.750","0.115","0.000","[0.526, 0.975]","0.750***","2.000","ORG","Valued.WITH.SCRPed.ORG",""
"61","ClearResponsibilities","~~","ClearResponsibilities","0.124","0.029","0.000","[0.066, 0.182]","0.124***","0.176","0.046","0.000","[0.086, 0.267]","0.176***","2.000","ORG","Variances.ClearResponsibilities.ORG",""
"62","EffectiveAnswers","~~","EffectiveAnswers","0.168","0.037","0.000","[0.096, 0.241]","0.168***","0.212","0.051","0.000","[0.112, 0.313]","0.212***","2.000","ORG","Variances.EffectiveAnswers.ORG",""
"63","Feedback","~~","Feedback","0.605","0.112","0.000","[0.386, 0.824]","0.605***","0.520","0.073","0.000","[0.377, 0.664]","0.520***","2.000","ORG","Variances.Feedback.ORG",""
"64","ClearOrganization","~~","ClearOrganization","0.406","0.081","0.000","[0.247, 0.566]","0.406***","0.305","0.063","0.000","[0.183, 0.428]","0.305***","2.000","ORG","Variances.ClearOrganization.ORG",""
"65","ClearPresentation","~~","ClearPresentation","0.136","0.036","0.000","[0.066, 0.207]","0.136***","0.143","0.041","0.001","[0.062, 0.224]","0.143***","2.000","ORG","Variances.ClearPresentation.ORG",""
"66","ValObjectives","~~","ValObjectives","0.308","0.057","0.000","[0.196, 0.420]","0.308***","0.794","0.059","0.000","[0.678, 0.910]","0.794***","2.000","ORG","Variances.ValObjectives.ORG",""
"67","IncrUnderstanding","~~","IncrUnderstanding","0.227","0.058","0.000","[0.113, 0.340]","0.227***","0.425","0.095","0.000","[0.238, 0.612]","0.425***","2.000","ORG","Variances.IncrUnderstanding.ORG",""
"68","IncrInterest","~~","IncrInterest","0.306","0.081","0.000","[0.148, 0.464]","0.306***","0.409","0.096","0.000","[0.221, 0.598]","0.409***","2.000","ORG","Variances.IncrInterest.ORG",""
"69","MultPerspectives","~~","MultPerspectives","0.534","0.108","0.000","[0.321, 0.746]","0.534***","0.649","0.083","0.000","[0.486, 0.812]","0.649***","2.000","ORG","Variances.MultPerspectives.ORG",""
"70","InclusvClassrm","~~","InclusvClassrm","0.208","0.046","0.000","[0.119, 0.298]","0.208***","0.569","0.095","0.000","[0.384, 0.755]","0.569***","2.000","ORG","Variances.InclusvClassrm.ORG",""
"71","DEIintegration","~~","DEIintegration","0.334","0.065","0.000","[0.206, 0.462]","0.334***","0.709","0.078","0.000","[0.556, 0.861]","0.709***","2.000","ORG","Variances.DEIintegration.ORG",""
"72","EquitableEval","~~","EquitableEval","0.328","0.063","0.000","[0.205, 0.451]","0.328***","0.744","0.070","0.000","[0.607, 0.881]","0.744***","2.000","ORG","Variances.EquitableEval.ORG",""
"73","TradPed","~~","TradPed","0.578","0.115","0.000","[0.354, 0.803]","0.578***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.TradPed.ORG",""
"74","Valued","~~","Valued","0.080","0.024","0.001","[0.033, 0.127]","0.080***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.Valued.ORG",""
"75","SCRPed","~~","SCRPed","0.288","0.081","0.000","[0.129, 0.447]","0.288***","1.000","0.000",NA,"[1.000, 1.000]","1.000","2.000","ORG","Variances.SCRPed.ORG",""
"76","ClearResponsibilities","~1","","4.513","0.052","0.000","[4.411, 4.616]","4.513***","5.386","0.451","0.000","[4.502, 6.270]","5.386***","2.000","ORG","Means.ClearResponsibilities.ORG",".p31."
"77","EffectiveAnswers","~1","","4.429","0.054","0.000","[4.324, 4.534]","4.429***","4.976","0.408","0.000","[4.177, 5.775]","4.976***","2.000","ORG","Means.EffectiveAnswers.ORG",".p32."
"78","Feedback","~1","","4.307","0.057","0.000","[4.196, 4.418]","4.307***","3.995","0.289","0.000","[3.429, 4.561]","3.995***","2.000","ORG","Means.Feedback.ORG",".p33."
"79","ClearOrganization","~1","","4.082","0.069","0.000","[3.947, 4.217]","4.082***","3.537","0.280","0.000","[2.988, 4.087]","3.537***","2.000","ORG","Means.ClearOrganization.ORG",".p34."
"80","ClearPresentation","~1","","4.299","0.060","0.000","[4.182, 4.416]","4.299***","4.404","0.375","0.000","[3.668, 5.139]","4.404***","2.000","ORG","Means.ClearPresentation.ORG",".p35."
"81","ValObjectives","~1","","4.539","0.039","0.000","[4.462, 4.616]","4.539***","7.289","0.576","0.000","[6.159, 8.418]","7.289***","2.000","ORG","Means.ValObjectives.ORG",".p36."
"82","IncrUnderstanding","~1","","4.276","0.058","0.000","[4.161, 4.390]","4.276***","5.855","0.486","0.000","[4.902, 6.809]","5.855***","2.000","ORG","Means.IncrUnderstanding.ORG",".p37."
"83","IncrInterest","~1","","3.961","0.069","0.000","[3.826, 4.095]","3.961***","4.583","0.385","0.000","[3.827, 5.338]","4.583***","2.000","ORG","Means.IncrInterest.ORG",".p38."
"84","MultPerspectives","~1","","4.479","0.055","0.000","[4.371, 4.587]","4.479***","4.941","0.388","0.000","[4.180, 5.701]","4.941***","2.000","ORG","Means.MultPerspectives.ORG",".p39."
"85","InclusvClassrm","~1","","4.675","0.046","0.000","[4.585, 4.764]","4.675***","7.728","0.616","0.000","[6.522, 8.935]","7.728***","2.000","ORG","Means.InclusvClassrm.ORG",".p40."
"86","DEIintegration","~1","","4.550","0.050","0.000","[4.452, 4.648]","4.550***","6.629","0.523","0.000","[5.604, 7.654]","6.629***","2.000","ORG","Means.DEIintegration.ORG",".p41."
"87","EquitableEval","~1","","4.595","0.042","0.000","[4.513, 4.677]","4.595***","6.919","0.543","0.000","[5.854, 7.984]","6.919***","2.000","ORG","Means.EquitableEval.ORG",".p42."
"88","TradPed","~1","","-0.088","0.107","0.412","[-0.299, 0.123]","-0.088","-0.116","0.142","0.413","[-0.394, 0.162]","-0.116","2.000","ORG","Means.TradPed.ORG",""
"89","Valued","~1","","0.049","0.049","0.322","[-0.047, 0.145]","0.049","0.172","0.174","0.323","[-0.169, 0.512]","0.172","2.000","ORG","Means.Valued.ORG",""
"90","SCRPed","~1","","-0.040","0.097","0.678","[-0.231, 0.150]","-0.040","-0.075","0.181","0.678","[-0.431, 0.280]","-0.075","2.000","ORG","Means.SCRPed.ORG",""
